Ruth Powell	4-(482)899-1307
Carol Ross	0-(067)856-7306
Emily Ortiz	1-(667)899-0883
Donna Clark	8-(388)756-5723
Bonnie Ferguson	8-(476)344-8040
Marilyn Webb	8-(713)038-2037
Julie Collins	6-(093)355-1639
Marie Fuller	3-(952)931-6803
Alice Lopez	9-(384)564-7773
Amanda Williams	2-(104)186-5701
Judith Welch	3-(978)585-4689
Robin Gutierrez	1-(308)895-9514
Ann Austin	6-(293)010-9628
Kimberly Morrison	6-(418)636-4919
Joan Morris	0-(504)481-6418
Katherine Kelly	9-(727)724-1856
Christine Schmidt	8-(276)597-2597
Alice Ellis	6-(868)242-3257
Kelly Flores	1-(096)236-9137
Ashley Reyes	4-(220)187-1944
Nancy Martinez	2-(797)262-7101
Mary Russell	8-(397)386-4893
Elizabeth Little	3-(620)502-0915
Shirley Hernandez	7-(923)981-7571
Kathleen Phillips	8-(951)805-4403
Angela Chapman	2-(761)386-9889
Tammy Warren	1-(168)131-5030
Judy Schmidt	4-(551)164-2021
Rebecca Rose	2-(305)933-9609
Stephanie Porter	2-(279)238-9251
Anna Griffin	6-(919)162-4818
Christina Hart	3-(426)142-5461
Karen Gonzales	3-(956)176-2774
Ruby Dunn	6-(298)388-1772
Louise Lopez	8-(445)325-1579
Evelyn Chavez	3-(887)586-1058
Christine Bailey	7-(987)421-5789
Sarah Fuller	5-(167)294-6132
Beverly Riley	5-(918)698-2660
Theresa Perkins	2-(976)502-8448
Norma Cruz	5-(831)893-5218
Barbara Austin	1-(310)880-6804
Kimberly Perez	1-(689)876-8744
Robin Gonzalez	3-(647)225-9462
Nicole Fernandez	9-(667)824-9733
Maria Hamilton	5-(512)890-1928
Stephanie Parker	2-(393)499-8473
Evelyn Lynch	1-(820)536-6673
Beverly Gilbert	4-(436)071-6740
Julie Hamilton	3-(534)766-9519
Robin Bell	5-(817)669-5383
Norma Webb	1-(440)167-8039
Marilyn Wilson	7-(945)358-2154
Helen Clark	7-(465)417-1488
Elizabeth Morales	5-(765)662-1264
Margaret Taylor	8-(532)342-4984
Barbara Ortiz	3-(811)090-9082
Janet Jackson	2-(668)994-7689
Mary Richards	2-(156)988-6461
Marilyn Fisher	1-(062)620-5837
Rachel Cunningham	0-(129)778-8758
Heather Oliver	8-(902)131-3544
Doris Bishop	5-(514)640-4407
Phyllis Romero	8-(173)761-5126
Maria Rogers	7-(036)951-9837
Rose Jones	5-(290)429-4468
Ruth Jacobs	5-(645)688-4140
Debra Mendoza	7-(980)643-0632
Diane Sanders	2-(656)118-9945
Irene Reed	1-(947)739-2014
Nancy Ferguson	6-(309)530-2498
Betty Chapman	7-(635)830-3632
Anna Alvarez	0-(750)382-6336
Amanda Bishop	8-(401)025-3551
Joyce Watson	5-(191)201-5768
Maria Simmons	6-(094)016-1255
Nicole Flores	2-(182)353-7399
Jean Young	5-(632)673-2848
Joyce Fox	0-(571)834-3656
Sharon Fuller	0-(589)652-2522
Anna Gutierrez	6-(287)666-2823
Kelly Hunter	6-(098)802-2512
Jessica Crawford	7-(469)883-2671
Teresa Dixon	7-(268)328-9936
Ruby Davis	0-(138)738-9663
Linda Lawrence	6-(457)172-5470
Laura Armstrong	1-(942)465-0700
Theresa Webb	8-(863)149-2016
Diane Jackson	3-(942)286-8498
Brenda Fernandez	8-(575)804-0357
Brenda Griffin	7-(478)173-0705
Ashley Richardson	2-(968)208-1675
Debra Garza	4-(886)882-5435
Christine Campbell	7-(164)117-0815
Diane Peterson	5-(897)372-8736
Pamela Gordon	1-(809)140-2331
Louise Simpson	7-(243)698-1612
Carol Reynolds	8-(066)649-0344
Rose Harper	0-(370)119-7455
Gloria Little	8-(063)040-7254
Sandra Day	5-(614)603-5165
Cynthia Martinez	6-(561)445-5083
Lori Nelson	5-(649)853-1696
Rebecca Morrison	0-(873)795-6985
Katherine Gonzales	3-(712)249-4390
Joan Allen	6-(603)760-8704
Lori Flores	8-(243)677-7147
Kathy Robertson	4-(824)852-2745
Carolyn Rice	9-(699)547-1191
Betty Hall	1-(944)206-1617
Kimberly Chavez	2-(580)236-2729
Mildred Mcdonald	9-(212)818-7570
Lillian Parker	6-(759)632-5042
Andrea Edwards	4-(497)004-7724
Jean Myers	2-(657)521-7749
Sara Ellis	2-(103)071-0470
Annie Walker	0-(218)489-0457
Deborah Payne	5-(994)172-2786
Karen Ryan	7-(000)836-4034
Sharon Ruiz	2-(451)321-4124
Doris Warren	2-(475)794-5288
Barbara Ramirez	8-(432)987-0317
Bonnie Fuller	5-(843)709-4730
Sara Murphy	7-(002)555-8233
Pamela Johnson	5-(080)377-2773
Carolyn Thompson	8-(657)895-2258
Norma Harvey	8-(106)735-6583
Katherine Warren	2-(870)425-3242
Betty Ross	0-(325)405-3749
Rose Martin	2-(260)932-8344
Martha Lane	7-(208)479-2071
Anna Nelson	4-(336)002-7967
Susan Walker	2-(546)229-2523
Heather Bishop	9-(464)065-5268
Linda Peterson	8-(708)161-5354
Karen Harvey	6-(924)504-2601
Lori Little	0-(679)824-5061
Gloria Turner	1-(196)472-8412
Carol Scott	1-(331)784-9038
Laura Nguyen	9-(865)825-1207
Jennifer Campbell	8-(392)136-7127
Rachel Robinson	4-(776)297-3208
Margaret Wells	2-(429)371-3314
Evelyn Ramirez	6-(808)195-3251
Donna Stewart	6-(713)909-4430
Sharon Watkins	5-(919)037-0407
Paula Lawson	7-(097)525-7445
Catherine Dean	0-(229)577-1796
Lois Bailey	2-(664)927-8441
Kathy Wright	1-(433)270-3282
Martha Carroll	0-(203)499-2091
Virginia Spencer	8-(333)317-0658
Debra Mendoza	2-(482)287-3838
Heather Berry	9-(309)125-2693
Ruby Frazier	3-(012)722-9158
Pamela Gutierrez	8-(278)852-9960
Jennifer White	7-(855)230-3347
Angela Price	3-(377)181-0525
Amy Webb	1-(405)075-3932
Sharon Rice	5-(025)523-5296
Irene Wilson	1-(231)417-7053
Nancy Crawford	3-(806)668-7059
Joyce Hanson	1-(574)211-3353
Christina Vasquez	9-(652)726-9387
Robin Payne	1-(945)310-4582
Sandra Henry	0-(337)007-0871
Lisa Daniels	4-(268)512-1325
Ashley Garcia	2-(567)030-6105
Katherine Chavez	2-(014)717-5305
Cheryl Adams	5-(127)196-0040
Barbara Martinez	1-(583)251-8726
Jennifer Robinson	1-(698)302-7926
Joyce Meyer	6-(986)180-1177
Rose Spencer	1-(869)629-9760
Patricia Sanders	5-(840)335-4303
Rebecca Gonzalez	7-(863)395-5369
Brenda Adams	5-(936)855-1814
Pamela Gilbert	5-(212)481-5405
Julia Martin	9-(399)743-4251
Lisa Carroll	5-(681)255-8712
Frances Stanley	0-(612)020-5080
Mary Adams	9-(606)215-9000
Mildred Ramirez	3-(479)858-5847
Marilyn Little	6-(154)694-5240
Wanda Diaz	5-(397)987-4240
Norma Kelley	7-(837)552-2416
Paula Payne	2-(756)216-3141
Margaret Daniels	4-(754)728-7902
Rose Ramirez	4-(323)159-8323
Beverly Andrews	4-(076)742-2923
Judith Burke	4-(759)078-3608
Ruth Brown	2-(330)249-5141
Carolyn Knight	0-(726)955-7639
Jean Flores	7-(734)704-8802
Denise Jenkins	5-(822)816-4395
Carol Dean	7-(720)969-9615
Marilyn Welch	5-(357)355-8832
Teresa Riley	8-(179)127-2265
Martha Moore	3-(419)660-0548
Amy Fisher	2-(584)888-2967
Deborah Cox	6-(704)115-9479
Louise Morrison	9-(425)966-0721
Annie Gray	0-(100)647-3230
Irene Ray	0-(519)376-2016
Kathy Hicks	5-(688)598-9914
Marilyn Lawson	3-(471)222-4598
Cynthia Wilson	1-(584)220-9943
Ashley Hamilton	3-(382)736-6191
Beverly Morris	3-(708)645-2905
Mary Palmer	8-(187)082-7545
Anna Mason	4-(488)782-8688
Rose Foster	0-(542)961-9094
Patricia James	0-(870)033-5920
Janet Ramirez	6-(456)612-2575
Phyllis Lee	8-(326)206-8247
Lisa Hudson	8-(074)847-3295
Ann Allen	2-(809)604-5983
Diane Reed	1-(020)250-8835
Cheryl Franklin	1-(097)609-8799
Sharon Carpenter	5-(207)814-9814
Judith Flores	1-(522)875-2882
Evelyn Richardson	0-(397)239-7734
Maria Ramirez	8-(765)881-9694
Alice Harper	9-(445)044-6266
Sarah Hamilton	8-(850)118-5162
Lisa Knight	2-(003)765-8513
Emily Thompson	6-(180)147-6578
Margaret Mason	7-(424)667-8935
Doris Lawrence	2-(449)159-5883
Barbara Watson	2-(320)149-6800
Beverly Spencer	2-(657)773-5581
Evelyn Hanson	0-(634)510-3233
Tammy Carr	0-(299)545-4251
Karen Watson	5-(580)643-1185
Joan Roberts	5-(832)411-4310
Julia Ryan	2-(619)703-4529
Heather Stewart	4-(374)067-1486
Patricia Owens	0-(931)368-2535
Cynthia Freeman	8-(536)840-4359
Anna Graham	2-(777)640-9851
Irene Ferguson	3-(129)236-8917
Marilyn Richards	5-(186)049-7867
Jean Scott	8-(959)490-1332
Christina Dixon	4-(195)553-3142
Diana Wagner	9-(920)660-0990
Tina Hawkins	0-(193)442-3114
Wanda Gibson	3-(328)890-5974
Janet Knight	7-(476)140-8039
Jacqueline Rodriguez	1-(674)316-6715
Tammy Scott	2-(769)769-3124
Dorothy Russell	8-(591)463-1786
Doris George	5-(880)867-7906
Kathryn Harvey	8-(510)208-7633
Rachel Welch	3-(954)884-7246
Patricia Romero	6-(800)159-5349
Annie Collins	5-(103)255-4219
Marie Stevens	1-(281)966-5323
Lois Rogers	5-(776)291-7880
Patricia Anderson	0-(012)464-4548
Helen Reid	1-(034)875-6165
Ann Lewis	3-(088)389-4932
Emily Perry	3-(403)142-1866
Mary Roberts	7-(875)919-0114
Jacqueline Stewart	3-(330)494-2347
Christina Weaver	7-(233)396-8971
Barbara Hawkins	2-(822)842-9946
Christine Ford	6-(220)791-6302
Sandra Garcia	6-(753)622-7784
Lillian Morris	9-(228)395-7308
Carolyn Matthews	4-(710)916-4359
Beverly Hicks	8-(793)826-9623
Joan Montgomery	7-(662)564-7090
Margaret Robertson	9-(730)686-5145
Julie Meyer	0-(239)206-3158
Kelly Butler	3-(940)835-2649
Shirley Watson	9-(764)034-9135
Theresa Berry	7-(969)167-2551
Amy Burke	3-(517)304-5237
Maria Howard	2-(859)394-9125
Pamela Little	6-(949)536-2184
Teresa Hunt	7-(157)805-2178
Diana Scott	8-(021)906-8440
Laura Pierce	0-(991)997-8037
Sara Pierce	1-(039)159-9193
Jane Thompson	4-(929)573-3815
Diane Watson	6-(018)583-9891
Carolyn Kelley	5-(674)658-0489
Teresa Fuller	1-(125)349-5084
Shirley Williams	2-(308)073-6844
Kathy Bowman	4-(638)053-8498
Mary Carter	9-(483)955-0969
Phyllis Mendoza	6-(152)723-0155
Margaret Henry	8-(856)667-8524
Sarah Bell	4-(815)708-3438
Rebecca Hughes	2-(546)023-5500
Nancy Woods	7-(971)537-4647
Diana Nichols	6-(425)912-6848
Alice Murray	6-(670)557-6317
Maria Harper	5-(994)755-1871
Tina Davis	8-(472)260-8774
Michelle Bryant	8-(113)453-7086
Wanda Ellis	9-(278)560-1312
Joyce Hayes	0-(467)574-6360
Pamela Greene	7-(143)593-3458
Rachel Chavez	0-(928)896-2300
Denise Day	2-(612)223-1428
Norma Cruz	7-(164)861-1679
Julie Ferguson	2-(838)894-4557
Amanda Garcia	8-(342)013-8052
Cynthia Coleman	9-(786)288-2603
Cheryl George	4-(112)474-7688
Gloria Martinez	6-(814)066-2877
Kathy Gomez	2-(113)840-5162
Lois Price	2-(155)923-6636
Pamela Rose	1-(021)238-7385
Shirley Wright	8-(660)972-4031
Joan Hicks	6-(533)843-5314
Cynthia Howell	1-(447)475-3674
Lois Kelley	7-(828)380-9903
Helen Long	0-(355)511-0145
Lisa Richards	6-(975)831-6269
Donna Burton	8-(743)969-0924
Angela Flores	5-(072)016-2777
Donna Snyder	2-(917)494-8739
Janice Crawford	9-(171)493-4155
Jessica Ferguson	6-(791)531-2307
Joan Chapman	9-(893)179-3891
Ruby Lewis	5-(124)950-2237
Helen Bailey	7-(225)558-2045
Janet Holmes	2-(579)402-3813
Lillian Cruz	5-(949)436-0434
Rachel Vasquez	2-(305)083-4166
Janice Moreno	8-(808)786-9454
Paula Edwards	1-(974)510-2821
Jane Lawson	0-(863)884-2290
Ruby Brown	5-(770)251-4814
Ashley Rogers	4-(690)785-4041
Evelyn Collins	8-(071)336-2393
Rachel Burton	0-(467)372-5092
Nicole Hernandez	6-(797)977-3331
Marie Chapman	1-(183)825-6424
Irene Boyd	1-(005)740-7534
Phyllis Ross	5-(505)620-5611
Jean Myers	9-(510)927-6203
Jane Murray	4-(800)276-7117
Margaret Stewart	9-(076)700-5704
Amanda Hudson	3-(105)091-3795
Alice Rodriguez	7-(345)092-9551
Ann Anderson	7-(537)400-7098
Anne Wright	5-(350)433-4916
Helen Ramirez	7-(425)842-8252
Joan Gutierrez	5-(904)388-0614
Kathryn Reid	6-(234)912-4651
Angela Garza	0-(362)864-2406
Louise Alexander	3-(717)218-9956
Emily Gomez	9-(327)350-6695
Catherine Mccoy	1-(517)464-7188
Sarah Montgomery	7-(222)495-1900
Judith Ross	5-(699)030-9539
Carolyn Lewis	0-(341)937-4862
Mary Dunn	4-(922)486-0742
Jean Morris	8-(401)101-4789
Patricia Carr	4-(438)227-6234
Ashley Harvey	9-(347)148-6169
Mary Adams	3-(180)689-8339
Sharon Carter	0-(830)778-2368
Sara Montgomery	6-(362)415-5563
Jennifer Carpenter	5-(340)338-3613
Diane Carpenter	3-(008)986-8138
Virginia Wagner	6-(281)709-7860
Rachel Day	1-(559)636-6468
Deborah Simpson	9-(486)819-8123
Brenda Perry	3-(022)211-4964
Bonnie Porter	5-(591)142-3079
Denise Mitchell	3-(867)310-7976
Evelyn Wells	7-(379)560-0420
Jacqueline Lane	4-(678)920-1323
Deborah Schmidt	3-(488)550-1246
Carol Wells	3-(203)872-7546
Frances Gardner	8-(400)317-4476
Katherine Carpenter	2-(139)875-0528
Lois Jordan	0-(440)412-6804
Frances Boyd	1-(163)654-7251
Bonnie Stanley	5-(093)208-6026
Doris Richardson	6-(614)854-0915
Linda Gonzalez	9-(257)956-8994
Kelly Howard	5-(086)663-2060
Janice Wright	2-(750)556-7890
Dorothy Perez	8-(389)597-1822
Theresa Alexander	4-(058)830-4272
Wanda Graham	0-(272)438-6027
Carol Bryant	3-(490)266-8082
Amy Reyes	9-(125)621-5994
Dorothy Dean	7-(397)315-5989
Ann Harris	2-(501)331-8666
Teresa Coleman	1-(821)925-6264
Janice Jackson	8-(515)537-3720
Debra Garcia	1-(820)792-8936
Catherine Barnes	0-(047)554-5671
Patricia Roberts	2-(452)528-6158
Frances Green	2-(760)816-5056
Marilyn Harris	6-(844)850-0371
Joan Johnston	7-(380)158-6973
Amanda Allen	3-(737)656-2585
Ruth Frazier	1-(375)177-5242
Marilyn Day	3-(907)969-5188
Lisa Sullivan	8-(624)123-6386
Amanda Green	1-(074)667-9359
Lois Martin	1-(438)238-5130
Lillian Nguyen	1-(328)412-2496
Diane Crawford	8-(165)676-3230
Ruby Morris	5-(656)940-5874
Julia Walker	9-(867)056-9942
Doris Hart	2-(747)026-6298
Helen Chavez	4-(220)801-8547
Cheryl Simpson	9-(838)855-0706
Nicole Patterson	2-(809)337-7995
Martha Hunt	6-(513)367-9556
Kathy Howell	9-(347)660-2694
Angela Chapman	3-(919)680-6955
Elizabeth Hernandez	0-(580)627-4774
Rose Romero	2-(339)500-9618
Betty Hansen	6-(360)774-5664
Andrea Wheeler	6-(341)689-6567
Virginia King	0-(986)066-3315
Julie Fernandez	6-(700)244-4385
Mildred Watson	7-(501)011-7727
Joan Lopez	5-(722)736-8021
Kathryn Cox	7-(531)749-0914
Andrea Vasquez	1-(778)095-0674
Christine Mills	6-(283)889-4788
Pamela Schmidt	4-(417)382-6898
Denise Price	6-(859)211-4207
Janet Ward	0-(599)600-9333
Nancy Scott	2-(179)177-9551
Kathy Lee	3-(410)488-9288
Rachel Adams	7-(050)647-9131
Carolyn Mitchell	9-(873)856-9754
Amanda Alexander	2-(369)319-1271
Annie Morris	0-(804)899-7510
Irene Stone	0-(398)063-7646
Julia Jacobs	1-(380)137-6019
Maria Robinson	1-(295)183-5803
Teresa Owens	0-(820)010-8687
Beverly Roberts	2-(714)080-7706
Betty Carroll	2-(084)285-3761
Ann Brooks	4-(386)434-2761
Ruth Peters	1-(148)208-7406
Dorothy Black	7-(718)652-9681
Kathy Fuller	9-(970)369-5511
Teresa Carpenter	2-(957)455-2940
Martha Alvarez	4-(874)479-9118
Kelly Weaver	0-(890)369-9523
Cynthia Powell	1-(169)556-1654
Angela Sullivan	8-(021)532-1897
Maria Reynolds	3-(941)798-7272
Emily Weaver	3-(935)546-8269
Julie Chapman	3-(283)485-6873
Rebecca Hunt	7-(054)022-4379
Cheryl Lewis	8-(009)242-4584
Lois Moore	2-(897)322-4781
Diana Ford	2-(663)839-2513
Denise Burton	0-(855)418-5036
Jean Perry	1-(902)610-3860
Wanda Kelly	9-(697)620-7640
Rachel West	6-(601)300-6864
Carolyn Rogers	1-(111)044-4839
Marie Simpson	7-(947)568-8794
Judith Reed	0-(170)577-0793
Sarah Gray	8-(777)354-5890
Emily Castillo	5-(398)490-5185
Kimberly Griffin	2-(194)665-7934
Jane Price	2-(583)889-1408
Judith Pierce	9-(799)698-3376
Ann Gutierrez	8-(579)308-7129
Betty Crawford	0-(908)314-4696
Amanda Mccoy	7-(968)913-9717
Joyce Foster	9-(036)528-4695
Sarah Harvey	9-(557)615-5004
Stephanie Brooks	8-(941)062-8954
Helen Elliott	4-(197)382-0003
Lillian Jones	0-(346)750-8503
Angela Warren	8-(114)327-9513
Judith Powell	8-(934)912-7642
Anne Hawkins	9-(762)042-6028
Jane Black	2-(881)672-0829
Christina Butler	5-(884)321-7797
Wanda Butler	6-(392)172-5877
Carolyn Robertson	8-(487)871-6898
Marilyn Cole	0-(275)544-0864
Dorothy Jones	2-(404)646-7572
Elizabeth Welch	9-(461)430-2815
Angela Allen	7-(057)724-4278
Mildred Simpson	3-(436)523-3657
Jean Meyer	3-(670)438-0787
Carolyn Perry	6-(054)113-8316
Patricia Garcia	4-(049)398-1046
Jacqueline Montgomery	1-(875)382-4212
Shirley Parker	8-(158)604-0647
Deborah Hicks	4-(007)404-8043
Cynthia Diaz	0-(943)325-6013
Susan Frazier	6-(278)734-7285
Pamela Ross	4-(950)703-1292
Linda Burns	5-(177)779-7457
Marie Riley	7-(773)774-6142
Denise Ramirez	5-(006)323-4365
Jean Campbell	5-(110)576-5392
Janet Dean	8-(551)660-1228
Janet Cook	1-(334)366-4589
Tina Ray	4-(089)714-7173
Julia Hughes	8-(985)357-6211
Theresa Banks	5-(472)156-2877
Kathryn Frazier	6-(805)222-0869
Katherine Hernandez	0-(027)921-0030
Ashley Medina	2-(191)745-3166
Rebecca Gardner	4-(581)634-8880
Denise Andrews	4-(254)412-7035
Anne Powell	4-(063)145-4966
Ruth Tucker	6-(044)882-7910
Marilyn Gutierrez	3-(096)157-6828
Judy Moore	4-(931)072-0253
Michelle King	3-(063)442-1457
Ashley Parker	8-(631)436-9024
Christina Ramirez	3-(629)787-3514
Norma Woods	2-(177)684-0255
Karen Alexander	9-(338)276-2476
Margaret Martinez	7-(186)590-8127
Kathleen Owens	1-(422)774-8923
Lillian Fuller	3-(056)925-8138
Kathy Freeman	0-(990)191-7133
Helen Johnson	2-(366)617-5199
Ruth Thomas	7-(198)403-7919
Rose Wood	5-(070)497-0476
Amanda Carroll	1-(282)279-0544
Kimberly Wood	2-(377)098-6479
Bonnie Morales	5-(178)933-5215
Norma Holmes	5-(562)951-1590
Rachel Wells	6-(095)322-7914
Lori Martinez	0-(765)049-2771
Jennifer Thomas	3-(113)837-0831
Carol Carter	6-(138)999-9245
Virginia Kim	0-(646)118-5584
Anne Miller	5-(765)698-4821
Ashley Moore	3-(507)097-0187
Emily Fernandez	5-(771)920-6228
Nicole Webb	3-(126)405-8956
Jean Matthews	7-(522)625-4303
Lori Morgan	1-(325)334-9696
Betty Hart	2-(388)269-4793
Norma Snyder	0-(778)949-7274
Annie Fisher	3-(825)981-8493
Helen Smith	3-(396)769-7376
Norma Davis	9-(224)111-3016
Joyce Nguyen	0-(428)455-4265
Stephanie Snyder	0-(385)239-4373
Judith George	1-(647)361-2414
Michelle Cruz	0-(607)944-0766
Patricia Alvarez	2-(257)581-2127
Kathleen Rogers	4-(688)966-4205
Kathryn Morris	6-(152)856-6010
Beverly Bradley	0-(155)228-7289
Marie Bennett	4-(469)976-7726
Paula Cooper	0-(216)101-6243
Kimberly Collins	6-(523)792-0711
Maria Snyder	4-(427)439-0048
Kathleen Wilson	7-(446)712-7711
Mary Gonzales	1-(508)278-0980
Ashley Watson	3-(335)011-9777
Amanda Mason	6-(364)258-7269
Judith Chavez	0-(227)036-9258
Anna Reyes	8-(061)658-1270
Marie Lawson	7-(080)731-9717
Norma Wagner	3-(739)783-2563
Debra Carr	6-(939)846-3512
Rebecca Burke	7-(259)460-8354
Sandra Henderson	0-(600)675-0231
Annie Long	0-(695)492-9798
Maria Bradley	0-(429)871-1943
Andrea Torres	0-(580)785-9719
Kathleen Chapman	1-(677)117-2482
Marilyn Watkins	2-(027)311-8356
Heather George	9-(524)781-5815
Betty Freeman	8-(650)507-9644
Carolyn Long	9-(620)600-0145
Phyllis Thompson	6-(496)832-9683
Tina Howard	3-(671)966-9103
Gloria Long	3-(850)547-3593
Sharon Wheeler	9-(826)104-9094
Lori Kelly	3-(836)200-4134
Lisa Brown	3-(739)830-9047
Ruth Bradley	0-(807)249-2004
Kathryn Howell	9-(770)027-9502
Kelly Gomez	4-(844)297-2130
Joyce King	8-(554)077-1776
Debra Taylor	5-(924)905-3255
Sharon Meyer	9-(243)103-1384
Elizabeth Burns	2-(429)307-7633
Karen Shaw	6-(851)090-9408
Pamela King	3-(097)171-2106
Rose Carter	4-(745)175-8876
Emily Castillo	6-(367)383-0736
Judy Dean	9-(341)181-8970
Wanda Gutierrez	1-(214)412-8246
Janet Medina	6-(554)697-4639
Paula Myers	1-(349)687-3226
Alice Cunningham	0-(679)427-3037
Ruth Lee	8-(998)160-8084
Judy Clark	6-(879)733-1383
Carol Shaw	2-(606)668-0966
Shirley Knight	6-(629)590-7139
Amy Lane	7-(691)317-4813
Judith Bailey	6-(832)871-5102
Laura Fuller	1-(968)386-2894
Lori Franklin	7-(976)284-7286
Jacqueline Gardner	3-(659)357-0629
Martha Evans	2-(583)200-7571
Barbara Phillips	7-(433)996-1620
Jean Simpson	6-(210)006-4894
Annie Brown	5-(069)816-2540
Doris Reynolds	1-(203)025-6632
Jessica Reid	2-(957)878-3988
Diane Ruiz	5-(425)493-3386
Julie Collins	6-(912)524-8917
Dorothy Robertson	1-(609)145-4114
Martha Alexander	4-(033)165-0544
Kathryn Ruiz	1-(984)827-6092
Anna Carpenter	3-(338)333-8238
Judith Shaw	1-(374)833-0844
Frances Little	5-(923)512-2930
Brenda Williamson	4-(744)593-9650
Annie Fuller	8-(366)197-5160
Bonnie Rose	2-(644)129-6977
Emily Greene	7-(833)248-0803
Alice Baker	7-(241)795-2771
Kathleen Price	3-(484)477-2399
Lori Carr	2-(258)626-5204
Elizabeth Cox	7-(980)596-8693
Lori Wright	7-(058)879-5286
Kathy Jones	9-(768)651-1777
Beverly Brown	3-(262)016-3363
Jennifer Tucker	1-(168)393-5352
Beverly Banks	8-(769)146-4624
Brenda Gutierrez	1-(414)259-4807
Janet Fisher	1-(109)144-3008
Angela Parker	6-(924)690-0519
Virginia Welch	2-(162)337-3284
Carol Knight	2-(355)006-3240
Lois Miller	9-(068)174-3246
Irene Baker	0-(005)874-4392
Jennifer Olson	3-(693)117-4591
Virginia Wood	0-(678)387-8039
Kathleen Stewart	3-(108)251-9164
Anna Payne	1-(434)319-0348
Laura Flores	8-(097)807-7973
Christine Wilson	2-(764)816-2291
Janet Adams	9-(994)123-4601
Sara Dixon	2-(442)909-3281
Joyce Welch	2-(879)044-4563
Linda Bell	2-(933)785-2395
Sandra Russell	5-(026)356-2619
Lisa Gonzalez	9-(662)156-1472
Mildred Henry	5-(383)987-4327
Sara Reyes	1-(182)754-3569
Stephanie Tucker	2-(660)816-2069
Marilyn Howard	5-(460)474-3367
Anna Kim	8-(589)125-7290
Laura Murphy	9-(175)809-3771
Gloria Perry	5-(622)773-9947
Helen Warren	0-(201)908-2625
Martha Ramos	0-(689)218-5332
Katherine Fowler	3-(829)101-2325
Christine Franklin	1-(019)127-7358
Janet Reid	3-(848)573-0302
Frances Wagner	2-(855)797-5255
Lois Carter	4-(462)121-4598
Anna Wood	7-(168)892-7254
Gloria Kennedy	9-(909)779-1386
Ashley Wells	4-(876)928-8893
Kathryn Richardson	7-(834)875-2624
Phyllis Roberts	6-(419)384-7671
Kathy Matthews	0-(201)690-0872
Anne Welch	4-(372)343-5604
Brenda Hanson	8-(634)604-7654
Anna Marshall	8-(616)573-8624
Joyce Hudson	2-(733)150-0292
Frances Sanchez	8-(606)682-5606
Carolyn Jacobs	3-(678)601-6199
Dorothy Parker	2-(982)053-2227
Stephanie Anderson	5-(157)116-2142
Diane Wood	7-(495)495-7388
Virginia Lee	0-(619)774-4872
Lillian Lawson	7-(506)568-9874
Amanda Campbell	5-(573)387-2704
Karen Garza	4-(940)682-1528
Katherine Gordon	2-(300)158-3079
Nicole Taylor	6-(821)274-7505
Linda Tucker	4-(683)954-8772
Ann Murray	4-(145)732-6932
Kathleen Gutierrez	7-(505)180-8554
Dorothy Kennedy	5-(219)936-9640
Nicole Tucker	5-(464)386-2197
Kathy Anderson	5-(419)107-2805
Beverly Burton	7-(370)670-9152
Catherine Rogers	6-(816)839-3129
Julia Hudson	3-(886)298-7812
Tina Bennett	2-(902)062-3028
Nicole Meyer	5-(928)309-4815
Jacqueline Stephens	1-(513)790-8655
