Alice Walker	5-(786)140-3346
Paula King	8-(750)366-4442
Anna Cole	5-(127)255-6105
Paula Nichols	1-(419)254-9082
Julia Jones	9-(238)610-5462
Cheryl Harrison	8-(020)326-7892
Mary Garcia	3-(435)290-4054
Kathleen Bailey	0-(781)482-8703
Joan Hunt	0-(996)017-5095
Amy Richardson	7-(312)779-3108
Marie Wilson	2-(796)306-5975
Ann Gutierrez	4-(119)143-4272
Jessica Greene	0-(444)368-8203
Anna James	0-(811)381-7953
Christina Wallace	8-(098)243-4912
Paula Mills	4-(640)369-6324
Anna Banks	3-(180)791-7535
Michelle Parker	1-(269)843-6170
Amy Montgomery	8-(960)110-9635
Sara Arnold	3-(722)679-3693
Pamela Stewart	9-(973)656-2035
Jean Murphy	5-(740)016-4461
Debra Stevens	5-(500)515-5741
Deborah Bell	1-(292)444-5974
Susan Gonzales	6-(661)779-7309
Virginia Hill	4-(451)156-4685
Katherine Dixon	5-(438)989-8809
Emily Ramirez	6-(659)159-3449
Phyllis Garcia	0-(053)715-8560
Linda Freeman	2-(554)026-9883
Pamela Ruiz	0-(346)269-7224
Carolyn Stone	3-(280)744-9279
Jennifer Moore	9-(342)022-8289
Ruby Hudson	0-(181)004-3408
Kathryn Berry	4-(034)078-2855
Martha Hudson	6-(837)083-1671
Wanda Sims	5-(156)731-7997
Betty Hunt	1-(624)516-8315
Virginia Olson	5-(076)625-5432
Donna Cooper	7-(807)268-5325
Nancy Burke	7-(206)214-6579
Martha Alvarez	3-(642)378-6519
Pamela Snyder	2-(689)010-0435
Rebecca Alvarez	3-(269)878-7602
Christine Weaver	0-(094)418-2432
Lori Bryant	4-(478)597-6121
Judy Bennett	5-(307)577-6650
Teresa Green	9-(825)488-1060
Ann Foster	7-(106)140-0473
Elizabeth Wagner	4-(633)388-0577
Julie Collins	0-(071)751-3206
Rachel Baker	7-(011)042-0905
Alice Rose	8-(529)141-5173
Teresa Cole	1-(219)311-9278
Ann Little	6-(798)406-4130
Rose Clark	0-(706)094-2205
Kathryn Marshall	1-(161)755-9391
Kathryn Andrews	8-(945)877-0660
Julie Jenkins	6-(005)566-1390
Debra Watson	8-(083)597-5335
Denise Gomez	7-(815)575-8213
Diane Ross	2-(358)025-0875
Irene Green	6-(122)339-2751
Judith Nichols	1-(662)210-1686
Rebecca Anderson	4-(527)383-0643
Nancy Nelson	7-(430)903-0134
Sharon Hanson	4-(550)332-7404
Kathryn Ferguson	7-(526)435-0980
Cheryl Mccoy	1-(890)701-4912
Jean Kelley	3-(571)362-5651
Amanda Ross	0-(428)396-1453
Andrea Fox	6-(187)164-3006
Lori Hamilton	7-(362)495-6673
Beverly Collins	2-(776)764-2361
Dorothy Cooper	0-(823)159-1221
Norma Wagner	8-(174)361-3831
Denise Price	9-(830)093-0922
Diana Boyd	2-(503)257-6740
Marie Oliver	3-(899)381-9919
Ashley Romero	5-(124)268-3277
Janet Hudson	1-(439)607-4495
Marilyn Marshall	6-(114)393-8301
Carol Lee	0-(492)550-4028
Diane Garrett	9-(422)477-7157
Christine Fields	6-(382)405-4588
Sarah Berry	0-(573)991-9011
Denise Simpson	1-(626)017-3254
Gloria Peterson	6-(522)398-9595
Paula Johnson	3-(024)936-7320
Gloria Hanson	1-(796)043-0617
Gloria Richardson	8-(469)567-6692
Kathryn Cox	9-(825)114-1579
Amanda Moore	5-(921)548-2012
Debra Marshall	7-(033)162-0629
Marie Stanley	0-(961)099-3003
Bonnie Brown	4-(355)973-9713
Julie Taylor	9-(977)464-1768
Louise Hunter	5-(518)888-6276
Cheryl Knight	8-(804)413-9457
Alice Hill	3-(911)906-9758
Kathy Gutierrez	5-(945)064-8413
Rebecca Diaz	9-(194)407-2111
Susan Olson	3-(505)241-9778
Janet Wells	5-(941)868-0156
Marilyn Coleman	7-(629)476-6057
Jennifer Davis	6-(027)370-9068
Brenda Rogers	6-(624)963-0960
Alice Wood	6-(987)581-0346
Nicole Roberts	7-(627)229-0639
Nancy Cox	1-(550)135-2096
Kathryn Burton	6-(050)628-6102
Barbara Morgan	1-(871)825-6129
Shirley Matthews	1-(317)867-2520
Ruth Myers	6-(229)779-5108
Kathryn Chapman	1-(223)106-6235
Wanda Allen	0-(530)857-0559
Lillian Chavez	2-(823)014-9627
Katherine Ray	8-(108)569-7693
Angela Black	3-(590)195-3742
Mary Perkins	0-(847)142-3939
Jacqueline Gray	3-(668)838-9864
Beverly Ruiz	7-(967)203-5106
Annie Graham	6-(337)474-9953
Marilyn Rivera	6-(832)175-0417
Robin Washington	7-(710)633-7115
Susan Owens	5-(961)606-4852
Evelyn Reid	6-(563)191-0384
Marie Long	6-(257)442-5151
Jacqueline Rose	5-(594)279-2854
Karen Gomez	5-(782)260-4246
Patricia Powell	7-(643)078-5573
Doris Gray	7-(300)781-6379
Angela Ross	3-(705)465-3198
Teresa Wagner	3-(787)780-9992
Theresa Ross	7-(697)234-1598
Janet Kim	5-(140)800-7622
Tina Adams	7-(303)400-1524
Julia Henry	5-(939)292-3934
Laura Cole	7-(278)465-3079
Joyce Garrett	5-(405)215-6206
Kimberly Boyd	9-(702)568-2919
Kathryn Hamilton	9-(646)245-4234
Ann Taylor	4-(799)986-3744
Gloria Bell	9-(872)275-8858
Julie Lane	4-(784)675-1635
Jean Coleman	5-(345)612-5203
Susan Hughes	3-(186)509-3830
Marie Wheeler	3-(817)205-9970
Tammy Robinson	9-(741)973-9432
Ruth Roberts	1-(447)733-7876
Judith Bishop	9-(564)949-1588
Paula Dean	3-(390)597-4502
Alice Moreno	0-(145)681-4972
Sandra Meyer	8-(391)471-2529
Lori Gomez	4-(290)747-8345
Paula Schmidt	3-(527)976-2689
Deborah Chavez	7-(856)980-7833
Sarah Richards	5-(723)847-3977
Anna Berry	8-(330)703-2131
Teresa Barnes	8-(712)613-9351
Kathryn Walker	9-(323)254-9505
Jennifer Wright	0-(931)478-6656
Jean Medina	7-(229)550-7148
Lori Myers	6-(412)218-0478
Nancy Day	2-(721)396-4419
Heather Rogers	4-(971)965-5503
Patricia Watson	2-(775)075-3120
Rose Lee	4-(093)516-0886
Betty Williams	2-(884)199-4153
Lori Thomas	0-(048)577-3559
Amy Ward	6-(472)787-8543
Katherine Watson	2-(762)550-0921
Michelle Garcia	9-(684)437-4436
Sarah Hughes	2-(217)693-7801
Kelly Russell	3-(690)378-5009
Dorothy Ortiz	9-(064)981-2037
Teresa Allen	3-(358)573-5901
Doris Harris	9-(648)398-2129
Kimberly Little	0-(575)001-3320
Sharon Howell	3-(723)099-7582
Anna Lynch	0-(606)011-1109
Janet Romero	0-(369)145-5160
Kathryn Armstrong	7-(817)734-9904
Bonnie Henderson	6-(470)338-2175
Janet Reed	6-(232)995-4108
Rebecca Gardner	1-(829)989-5310
Karen Williamson	8-(711)715-2061
Janet Perez	9-(280)758-7264
Amanda Burton	1-(530)224-5116
Jacqueline Walker	4-(185)088-5044
Annie Burns	3-(263)275-0311
Marie Jackson	6-(446)140-1604
Mary Ford	4-(110)388-9165
Helen Marshall	1-(143)406-2476
Betty Gilbert	2-(984)944-5449
Nancy Hanson	8-(742)696-3524
Lillian Richards	7-(670)848-8757
Ruby Porter	1-(229)480-0438
Sara Weaver	4-(692)913-0775
Margaret Vasquez	0-(427)620-6681
Jacqueline George	3-(496)195-2598
Anna Mcdonald	6-(465)805-4992
Rose Thomas	5-(156)608-7579
Anna Burns	2-(534)350-2956
Joan Lawrence	5-(120)022-6640
Rebecca Black	5-(574)842-9224
Christine Perez	7-(299)834-2629
Bonnie Payne	1-(479)892-4474
Kathy Sullivan	8-(980)840-1540
Jane Mccoy	6-(280)800-5596
Kelly Evans	0-(947)750-3673
Gloria George	3-(510)099-4881
Christine Fuller	5-(795)509-1199
Patricia Richardson	4-(070)278-1443
Jacqueline Snyder	9-(320)148-9207
Lisa Graham	9-(555)674-3414
Lillian Martin	2-(172)216-8981
Angela Allen	9-(539)884-6010
Ashley Nichols	3-(551)517-2173
Joan Burton	2-(261)305-2098
Sharon Bishop	4-(667)054-4163
Melissa Dunn	9-(388)968-2889
Donna Moreno	8-(026)260-2493
Shirley Jones	1-(440)435-9099
Theresa Castillo	9-(641)858-0572
Mildred Rose	0-(904)348-3814
Lois Arnold	6-(857)219-3396
Heather Mason	9-(799)805-1187
Jennifer Watkins	6-(749)880-4523
Carolyn Rogers	0-(312)530-5661
Sharon Adams	2-(510)632-4625
Paula Rose	3-(434)282-8176
Lois Hanson	4-(758)716-3201
Amy Patterson	9-(179)034-4075
Kathy Frazier	2-(939)539-4144
Heather Dean	0-(779)704-8611
Nicole Marshall	9-(594)855-5616
Jacqueline White	3-(896)374-6163
Laura Fields	3-(819)483-9822
Denise Warren	9-(435)482-9342
Heather Bryant	1-(748)876-1219
Judy Berry	7-(874)576-7128
Sharon Wright	8-(196)653-1655
Robin Gibson	7-(767)519-7561
Frances Gilbert	1-(202)891-7631
Christina Vasquez	9-(079)938-5218
Jane Morgan	4-(465)073-4411
Sandra Greene	6-(451)672-8822
Susan Wheeler	6-(206)082-0518
Cynthia Stephens	7-(465)802-0846
Tina Daniels	7-(001)978-0352
Julie Coleman	1-(005)822-0579
Michelle Carr	6-(974)444-7043
Betty Castillo	8-(175)300-3014
Amy George	9-(462)567-7818
Mary Flores	6-(791)640-2667
Patricia Hughes	6-(391)311-8255
Tammy Burton	6-(602)092-0264
Cynthia Allen	0-(967)612-6782
Annie Rodriguez	0-(240)478-6995
Jessica Schmidt	8-(161)827-7349
Helen Dean	4-(579)510-6200
Kimberly Mason	0-(326)225-4328
Marie Gardner	5-(149)485-7860
Beverly Ruiz	7-(799)055-1980
Marie Wilson	8-(564)288-4136
Diane Gordon	5-(492)529-1338
Rose Alexander	1-(841)519-7333
Kimberly Snyder	8-(179)646-0416
Maria Hall	2-(832)765-8592
Tammy Wells	2-(289)663-1237
Maria Watson	3-(226)006-1368
Sandra Ford	6-(499)390-3479
Cheryl Montgomery	4-(847)552-3403
Maria Romero	1-(319)451-4284
Judith Gutierrez	9-(996)086-9579
Patricia Harris	3-(081)800-5418
Janet Black	4-(460)221-6202
Anne White	4-(614)419-2933
Ashley Nguyen	6-(599)479-5602
Robin Morrison	0-(958)569-1763
Anne Nguyen	1-(554)307-8004
Ruth Wilson	4-(013)782-9460
Paula Harvey	5-(115)311-3466
Ann Rogers	5-(012)780-4141
Teresa Butler	3-(500)801-2042
Christina Brown	3-(578)750-2189
Sharon Arnold	9-(726)605-9291
Ruth Mcdonald	0-(090)394-6442
Ann Carr	9-(300)585-2427
Marie Wood	1-(942)775-3102
Catherine Adams	6-(715)758-4381
Theresa Moreno	6-(385)546-7311
Janet Green	8-(570)538-5056
Lisa Morris	8-(513)731-6784
Ann Ellis	7-(904)927-0253
Barbara Lewis	5-(933)697-6346
Kathryn Cole	9-(308)321-3152
Cynthia Hill	6-(216)189-3510
Carolyn Cook	7-(240)129-4216
Andrea Owens	8-(403)032-7579
Sharon Mason	7-(225)835-3421
Lori Smith	4-(660)863-9324
Katherine Jordan	2-(753)501-7021
Diane Little	1-(775)050-7431
Lois Bell	8-(249)853-3277
Carolyn Reynolds	8-(673)501-2696
Deborah Gonzales	9-(944)815-2641
Susan Medina	9-(884)331-6877
Judy Gray	3-(882)861-6781
Anne Garcia	6-(105)642-0613
Kathryn Bishop	5-(201)839-5333
Marilyn Simpson	1-(594)363-3003
Christina Robertson	8-(471)645-2449
Wanda Martin	7-(860)420-3759
Ann Reid	5-(382)927-5449
Melissa Greene	4-(257)439-6776
Anna Knight	8-(239)263-7241
Teresa Lawson	2-(931)199-7935
Christina Willis	7-(593)523-0130
Teresa Richards	1-(778)375-7739
Alice Williams	9-(669)315-1366
Julie Mason	5-(587)573-1529
Jennifer Gonzales	6-(556)296-6133
Brenda Jordan	4-(319)189-9583
Rebecca Stone	9-(422)587-8267
Cheryl Alexander	3-(026)698-4915
Karen Marshall	8-(278)172-4840
Janice Burke	3-(546)773-9855
Judy Ross	0-(434)684-6031
Rebecca Pierce	5-(765)337-8932
