Doris Washington	7-(502)158-6725
Sharon Harris	0-(187)721-9106
Tammy Chapman	6-(193)157-5735
Ashley Chapman	2-(988)038-5938
Mary Alexander	4-(533)960-2387
Marilyn Jordan	4-(827)023-1088
Michelle Diaz	9-(474)817-5839
Angela Fowler	2-(006)743-3237
Susan Stewart	2-(977)549-5770
Laura Bishop	9-(711)621-3822
Paula Barnes	8-(312)001-4401
Norma Vasquez	6-(590)795-5931
Jessica Jones	5-(725)265-4216
Norma Henry	5-(124)707-0128
Tammy Nichols	1-(166)686-0733
Norma Smith	8-(356)719-8823
Laura Ortiz	0-(598)656-1715
Anne Hansen	4-(381)574-3639
Lois Larson	1-(572)862-7903
Susan Nelson	9-(276)685-6111
Denise Gutierrez	3-(881)514-8665
Barbara Mason	4-(618)931-0326
Mary Romero	4-(082)662-3023
Linda Burton	7-(175)901-9546
Betty Turner	6-(847)446-8235
Kathleen Willis	8-(850)961-6433
Frances Meyer	7-(609)177-1415
Margaret Cook	9-(061)753-6127
Barbara Bailey	9-(182)976-1348
Teresa Hudson	1-(616)006-3369
Lillian Robertson	0-(617)456-6792
Sharon Cook	0-(199)254-3488
Helen Ford	4-(548)497-8705
Michelle Ferguson	0-(135)143-6253
Rachel Harrison	6-(374)135-3776
Judy Cox	1-(011)422-3334
Jane Oliver	4-(461)679-9999
Maria Dunn	7-(713)240-1103
Jane Gonzales	2-(076)190-2900
Cheryl Diaz	2-(790)063-0069
Laura Reed	4-(777)800-5554
Brenda Diaz	9-(769)173-5768
Angela Morgan	0-(552)911-8439
Diana Gray	8-(904)765-9004
Jessica Gordon	0-(943)861-8112
Angela Watkins	3-(510)875-0563
Shirley Marshall	8-(666)713-1511
Ruth Knight	8-(476)571-4185
Norma Palmer	2-(321)456-5171
Joyce Torres	0-(925)540-8560
Elizabeth Johnson	9-(799)699-3223
Anna Wheeler	3-(319)453-6902
Lisa Fuller	3-(586)494-5453
Karen Cunningham	0-(238)098-7798
Julia Romero	6-(887)249-7683
Denise Washington	2-(607)591-8127
Jessica Diaz	2-(929)002-5618
Nancy Harvey	8-(320)179-9108
Mary Wheeler	3-(514)895-7075
Beverly Campbell	0-(823)176-5859
Alice Hanson	8-(303)508-4004
Ann Warren	7-(247)515-9798
Jessica Russell	2-(611)587-5231
Ann Cook	1-(159)435-6547
Julie Allen	7-(853)757-4684
Norma Larson	2-(010)437-8057
Alice Perry	3-(260)037-5565
Janice Pierce	6-(631)384-0840
Lisa Willis	3-(690)084-0756
Frances Thomas	9-(303)755-1466
Heather Reyes	0-(538)501-2898
Frances Flores	0-(111)157-3729
Cynthia Wright	8-(995)752-9476
Laura Bennett	8-(035)191-1344
Kathleen Carroll	2-(629)861-6627
Doris Gilbert	4-(472)705-3588
Carolyn Perry	4-(952)889-3421
Irene Stevens	5-(845)472-6247
Elizabeth Hicks	2-(165)056-7562
Evelyn Larson	1-(687)169-3907
Alice Butler	1-(621)962-5606
Andrea Miller	5-(678)450-8057
Paula Oliver	6-(857)346-9509
Angela Berry	6-(774)681-8814
Betty Johnson	9-(998)854-7920
Irene Carr	9-(887)630-8344
Julia Hanson	4-(256)794-6214
Doris Gilbert	8-(792)202-6820
Norma Hudson	8-(818)876-8891
Julia Green	7-(431)802-4309
Anna Franklin	0-(927)314-3219
Robin Kelley	7-(544)234-5499
Christine Pierce	7-(002)264-3959
Julia Jordan	2-(296)755-5653
Christine Crawford	4-(214)171-7818
Kelly Fowler	5-(181)396-8646
Martha Boyd	8-(461)981-7355
Susan Wilson	8-(277)597-1289
Maria Lawrence	8-(784)245-5673
Louise Wood	8-(485)967-0149
Nancy Johnston	0-(614)419-2094
Virginia Peters	6-(828)293-3309
Nicole Russell	7-(000)793-3214
Andrea Fowler	4-(784)603-7790
Louise Cunningham	9-(308)062-2863
Phyllis Castillo	1-(285)668-9841
Jacqueline Gordon	6-(320)071-4377
Dorothy Cruz	6-(405)738-3910
Ann Anderson	5-(148)918-8818
Shirley Lee	4-(850)038-3853
Mildred Tucker	0-(394)985-6602
Andrea Harvey	8-(875)558-4210
Diana Reed	5-(419)910-9234
Mildred Sanchez	9-(411)247-8094
Robin Ferguson	0-(765)865-2792
Carolyn Barnes	6-(796)606-7417
Kathryn Stewart	7-(463)156-5077
Gloria Cruz	1-(900)934-0653
Tammy Kim	3-(885)519-1343
Carolyn Phillips	6-(196)033-6259
Evelyn Robinson	8-(520)228-9129
Jean Washington	5-(653)629-6190
Annie Coleman	9-(081)399-3763
Sandra Hughes	5-(703)084-1739
Gloria Evans	0-(295)931-3144
Janice Bradley	3-(454)884-8691
Irene Fisher	7-(278)389-3479
Julie Bowman	3-(068)662-4197
Carolyn Henry	6-(530)483-5516
Janice Bailey	9-(993)223-1721
Louise Patterson	6-(781)370-8926
Nicole Oliver	3-(187)222-3629
Kathleen Montgomery	6-(622)061-9492
Nicole Rivera	2-(891)400-8205
Frances Long	1-(720)852-0111
Donna Hall	2-(508)004-5204
Martha Parker	2-(241)799-4668
Debra Stewart	9-(630)954-9443
Kathryn Peters	7-(819)473-4042
Anna Moore	0-(804)417-3906
Julia Thomas	9-(579)770-7069
Julie Palmer	8-(714)706-2611
Judith Stanley	2-(512)751-8123
Cynthia Long	1-(641)768-9825
Rachel Little	0-(347)902-3308
Dorothy Gutierrez	4-(167)888-8288
Tammy Kelley	4-(228)625-2441
Andrea Garcia	1-(155)704-3753
Debra Mendoza	7-(860)237-5597
Jessica Perry	8-(497)953-3438
Jane Duncan	3-(998)925-7036
Carolyn Sanchez	4-(699)905-9111
Catherine Phillips	4-(886)605-5882
Louise Gomez	2-(093)255-5474
Janice Nichols	0-(107)618-6956
Carol Pierce	3-(886)759-5936
Sharon Cook	7-(190)066-0562
Lillian Welch	4-(320)554-4160
Carol Griffin	9-(834)787-5814
Betty Mason	2-(093)084-5910
Kathryn Bryant	6-(922)775-6046
Lisa Stephens	2-(332)040-6189
Joan Lawson	9-(883)567-1401
Denise Flores	1-(281)710-6490
Martha Dean	2-(321)756-2290
Tina Jenkins	3-(099)214-8452
Betty Hill	4-(972)677-9872
Bonnie Hamilton	4-(845)105-4209
Emily Wallace	5-(172)769-1334
Susan Gilbert	4-(914)651-5062
Amanda Banks	2-(958)733-6449
Amanda Hanson	5-(056)637-3721
Jennifer Peters	9-(487)527-8139
Kimberly Cunningham	4-(823)660-3756
Sharon Ramos	2-(866)482-6458
Lois Arnold	1-(920)860-0597
Donna Rivera	7-(854)902-6845
Cynthia Franklin	7-(045)925-7944
Stephanie Shaw	8-(125)267-4437
Helen Tucker	3-(800)945-5692
Dorothy Sanchez	6-(746)402-7227
Sarah Nichols	8-(916)469-7944
Julie Reid	6-(091)658-6442
Ashley Myers	7-(738)396-4563
Andrea Howard	5-(384)038-5066
Joan Thomas	7-(503)877-4375
Christine Garcia	9-(558)582-7847
Gloria Young	8-(674)118-1788
Annie Allen	5-(200)343-3870
Deborah George	9-(841)173-2379
Bonnie Ray	9-(631)493-1181
Judith Turner	5-(324)257-6778
Catherine Morgan	8-(429)725-4067
Tammy Dixon	3-(690)207-8244
Lois Wright	6-(074)871-8351
Cheryl Allen	8-(520)499-4136
Margaret Murray	3-(966)253-3488
Kelly Bell	2-(619)307-0852
Wanda Ross	5-(597)992-5136
Evelyn Garcia	7-(218)993-2765
Kimberly Fisher	7-(889)403-9922
Jessica Simpson	6-(840)160-0084
Katherine Mitchell	2-(825)390-2942
Beverly Clark	5-(686)499-8708
Tina Cooper	3-(949)091-9110
Frances Morris	2-(957)811-4485
Debra Evans	8-(108)918-7513
Elizabeth Perez	5-(526)177-9073
Frances Hicks	1-(162)767-2202
Julia Mendoza	7-(064)069-1480
Sarah Bell	7-(925)992-3094
Julie Gonzales	4-(898)572-0317
Mildred Evans	3-(685)337-1213
Ruth Gray	3-(854)694-9990
Lillian Scott	1-(462)864-0185
Tammy Porter	4-(805)292-4821
Stephanie Mcdonald	9-(630)479-1857
Julie Lewis	4-(256)086-2187
Kathy Myers	3-(925)451-0971
Shirley Jacobs	0-(883)884-3032
Rachel Hamilton	8-(501)740-2118
Jessica Harrison	1-(379)667-5624
Kimberly Moore	7-(703)880-4777
Rose Lee	2-(096)606-2028
Diana Day	5-(934)088-2690
Kelly Foster	5-(648)736-8930
Diana Clark	2-(646)880-7784
Judy Burns	2-(465)992-8324
Anne Murray	0-(031)384-2930
Beverly Cunningham	0-(675)121-3026
Donna Dean	3-(189)526-7258
Judy Moore	6-(296)647-6679
Gloria Snyder	5-(440)580-6693
Sara Mason	8-(845)929-3882
Norma Nelson	2-(242)058-9927
Sara White	8-(393)819-9012
Anna Price	8-(795)334-6143
Janice Hill	2-(043)317-3865
Denise Hudson	7-(233)100-2656
Annie Stone	1-(825)609-0214
Joyce Butler	5-(710)805-1452
Nicole Black	8-(346)956-4447
Heather Chapman	4-(437)205-6047
Sandra Romero	1-(708)090-8246
Rose West	9-(287)874-1137
Elizabeth Wheeler	4-(549)483-1780
Barbara Rivera	0-(295)164-5660
Gloria Robinson	7-(578)322-3904
Joyce Hill	0-(116)609-3275
Deborah White	8-(731)062-9540
Judy Brown	8-(341)568-2084
Amanda Wheeler	7-(943)417-0889
Ann Willis	1-(967)658-5510
Carol Washington	6-(812)020-0742
Jennifer Miller	7-(608)607-7239
Melissa Garcia	3-(062)122-7441
Theresa Mendoza	2-(711)286-1557
Cynthia Ramirez	1-(925)660-3284
Jane Stevens	3-(188)031-1225
Stephanie Martin	8-(016)356-3145
Jane Clark	3-(154)052-2619
Judith Russell	1-(639)407-7608
Lisa Lawson	1-(875)309-2125
Joan Ryan	8-(498)738-3466
Christina Sanders	5-(873)490-0778
Norma Arnold	5-(183)906-3454
Paula Hart	0-(153)620-3239
Christine Turner	9-(303)883-1334
Doris Reyes	2-(883)381-9267
Diana Sanchez	7-(043)363-3171
Jean Griffin	9-(890)855-4819
Jane Castillo	7-(098)346-0295
Christina Perkins	8-(043)340-6208
Jane Cox	6-(229)685-2415
Anne Nichols	0-(739)050-7344
Wanda Hughes	3-(307)061-8266
Jacqueline Lee	5-(323)422-5346
Betty Reynolds	5-(357)619-6041
Dorothy Meyer	7-(533)958-9484
Carol Gray	7-(599)043-3231
Lori Hamilton	5-(881)208-3062
Frances Hughes	3-(646)833-8662
Martha Bowman	1-(139)114-6812
Rebecca Evans	1-(518)742-2596
Katherine Gomez	1-(315)942-1016
Debra Rodriguez	8-(074)328-1313
Debra Lopez	9-(200)816-4664
Tammy Hansen	0-(682)622-8210
Anna Wilson	1-(295)095-9354
Sharon Moore	6-(772)236-8253
Ruby Long	1-(304)116-2690
Susan Sanders	7-(740)872-2831
Sara Sullivan	3-(512)269-7733
Shirley James	1-(728)548-6291
Martha Nichols	6-(203)710-7314
Barbara Holmes	0-(370)274-6309
Wanda Lynch	1-(643)796-2254
Gloria Rice	3-(446)759-2125
Doris Little	2-(385)364-1331
Karen Wilson	4-(496)297-4136
Patricia Richardson	4-(381)370-0855
Beverly Little	3-(016)936-0171
Sarah Sanders	4-(745)228-7817
Melissa Matthews	7-(544)991-4912
Marilyn Matthews	7-(871)065-0781
Carolyn Day	9-(883)790-1686
Laura Berry	1-(676)571-8443
Virginia Ward	6-(359)034-5978
Doris Gray	2-(535)769-2360
Cynthia Murphy	8-(326)588-0333
Catherine Montgomery	2-(720)362-2697
Tina Hernandez	1-(549)172-5597
Denise Moore	1-(288)785-6386
Phyllis Washington	6-(756)509-2379
Louise Bryant	7-(304)611-6734
Rose Oliver	8-(774)125-0966
