Melissa Little	0-(612)497-4308
Ashley Williamson	2-(044)716-7589
Jean Alexander	4-(755)432-6135
Virginia Ortiz	8-(264)381-1425
Diane Ellis	2-(170)645-2771
Lois Ramos	8-(244)023-7294
Jessica Palmer	2-(046)484-4004
Cheryl Howard	3-(759)025-2417
Patricia Nichols	1-(846)597-1765
Anna Fowler	0-(511)875-8977
Julia Simmons	6-(309)959-9565
Ruby Mitchell	5-(374)889-6691
Diana Lawrence	8-(691)314-0989
Teresa Ross	9-(019)959-2131
Rachel Mitchell	6-(691)800-0028
Janet Scott	4-(095)435-1921
Robin Gomez	4-(256)978-0295
Joan Black	0-(234)412-4883
Wanda Black	5-(567)458-7438
Janet Freeman	6-(941)604-8766
Elizabeth Morales	9-(274)789-0891
Lori Martinez	4-(825)592-8045
Marie Wright	7-(758)525-6222
Jessica Butler	1-(853)146-7223
Marie Alvarez	9-(891)970-1360
Marilyn Lane	1-(979)654-4182
Christina Miller	8-(518)171-9100
Rose Morris	8-(737)871-1598
Rachel Nguyen	7-(356)348-0264
Mildred Matthews	3-(339)854-6000
Maria Crawford	5-(743)525-6159
Janet Arnold	0-(627)391-4802
Linda Webb	9-(278)240-8728
Jessica Powell	9-(201)911-2856
Shirley Bryant	6-(965)405-6591
Sharon Franklin	2-(524)735-3451
Martha Washington	0-(744)301-1688
Sandra Reed	4-(014)993-6749
Carol Thomas	6-(144)762-8143
Pamela Long	6-(337)030-0103
Deborah Rogers	4-(981)426-5517
Virginia Wilson	1-(905)234-2202
Melissa Ross	9-(451)229-1220
Cheryl Griffin	8-(295)109-5244
Paula Ryan	9-(352)792-9829
Andrea Duncan	5-(973)230-4593
Rachel Reynolds	0-(348)250-1411
Mildred Banks	2-(224)949-3679
Elizabeth Lopez	7-(383)114-5374
Beverly Fisher	1-(419)544-4065
Diane Payne	0-(548)522-5497
Ann Armstrong	3-(508)436-7887
Andrea Fields	9-(213)927-0309
Sandra Thomas	7-(229)260-4748
Joan Simmons	1-(830)216-0056
Robin Watson	9-(620)054-3963
Shirley Walker	8-(963)761-6893
Lois Nichols	2-(304)570-3065
Nancy Porter	1-(592)257-1201
Marilyn Riley	9-(936)711-8161
Sarah Carr	4-(976)468-3601
Jessica Gibson	8-(378)877-8198
Ruth Richardson	1-(605)378-3585
Carolyn Shaw	9-(525)193-6599
Margaret Mcdonald	9-(334)612-8504
Marilyn Snyder	3-(044)479-3397
Anne Wagner	1-(856)625-5069
Heather Sullivan	8-(694)689-6909
Catherine Hayes	9-(487)785-1994
Judith Holmes	8-(879)015-0225
Judith Brown	0-(782)165-7645
Michelle James	6-(120)440-6865
Ruby Simpson	1-(639)123-6823
Deborah Green	2-(057)415-8888
Ann Stewart	1-(080)186-8784
Joyce Bailey	2-(754)248-8483
Rose Porter	5-(439)628-6460
Kathleen Morris	5-(877)057-3799
Carol Snyder	2-(122)804-5062
Laura Hunter	7-(319)353-7265
Lori Thompson	8-(533)831-5483
Emily Frazier	8-(116)795-1110
Jane Burns	6-(183)307-5887
Sandra Lane	2-(530)987-8594
Jane Martinez	6-(821)631-0273
Judy Roberts	9-(576)159-9417
Wanda Marshall	3-(866)646-2969
Jacqueline Ferguson	1-(112)340-0675
Katherine Andrews	6-(399)414-1577
Amy Elliott	0-(307)642-9932
Robin Ryan	3-(666)546-6363
Jane Hernandez	6-(341)943-8572
Deborah Chavez	6-(686)990-7007
Anne Baker	1-(152)238-7906
Theresa Chavez	7-(961)179-7287
Judy Gutierrez	3-(481)061-4190
Lois Moore	5-(676)725-2299
Pamela Greene	6-(094)486-6427
Rachel Morrison	6-(486)921-4881
Betty Mills	6-(642)269-8000
Helen Watson	8-(155)750-2708
Michelle Garza	9-(406)307-3901
Sara Cruz	0-(484)874-7922
Judith Myers	5-(435)007-3004
Judy Jordan	5-(230)958-9796
Amanda Allen	6-(109)925-4917
Joan Simpson	3-(271)940-2491
Patricia Howell	6-(625)798-0682
Tammy Garza	9-(609)146-8871
Rose Garrett	8-(373)615-5241
Teresa Robertson	3-(592)319-0727
Betty Garrett	3-(275)723-9174
Lois Torres	4-(059)277-1196
Emily Spencer	5-(567)475-4346
Paula Edwards	6-(677)074-6406
Jane Day	6-(013)457-5264
Frances Ortiz	2-(304)472-5265
Tina Gibson	4-(854)497-8049
Diane Medina	1-(994)824-4295
Diana Reynolds	3-(597)075-3350
Deborah Allen	6-(498)062-8987
Alice Gonzales	6-(138)764-9570
Joan Marshall	2-(381)577-4538
Michelle Watson	8-(098)106-5188
Kathy Smith	6-(012)571-4441
Donna Chapman	5-(403)610-5182
Annie Lynch	3-(703)315-1348
Emily Moore	1-(454)472-9185
Theresa Howard	4-(552)481-3728
Kimberly Fowler	4-(452)132-4956
Rose Morales	4-(140)367-5033
Jessica Hamilton	4-(344)814-0122
Jennifer Allen	8-(888)939-1625
Teresa Williamson	3-(912)049-5783
Anna Harrison	1-(269)627-6827
Kelly Simpson	0-(422)224-7648
Denise Weaver	4-(684)062-1230
Ruby Meyer	0-(238)107-5048
Angela Owens	3-(148)340-3443
Joyce Warren	3-(030)976-9431
Bonnie Wright	0-(727)158-3054
Jessica Gonzales	0-(606)034-8732
Carol Martin	2-(405)776-8482
Ashley Gardner	2-(986)252-0166
Brenda Baker	5-(515)215-2664
Teresa Perkins	5-(323)302-9425
Martha Mills	6-(127)680-7190
Jacqueline Bennett	7-(086)541-2664
Kathryn Greene	2-(171)661-3958
Rose Gonzalez	3-(787)675-9781
Lois Daniels	8-(550)089-1273
Joyce Gray	2-(446)544-1544
Joan Stanley	0-(954)245-5197
Donna Holmes	8-(195)106-5655
Cynthia Palmer	1-(180)080-0891
Janice Lawrence	9-(737)743-7827
Wanda Williamson	8-(555)311-0815
Bonnie Diaz	6-(528)482-9191
Anne Davis	1-(603)845-2575
Susan Nguyen	9-(006)667-2450
Elizabeth Bailey	6-(372)855-7050
Lois Young	4-(266)799-4398
Louise Vasquez	1-(123)328-5936
Elizabeth Berry	0-(925)344-8508
Joan Reid	3-(488)632-6589
Lillian Mason	3-(953)639-9089
Rose Ross	5-(807)780-1721
Brenda Wright	9-(882)446-1960
Jean Robinson	3-(292)777-3945
Angela Williamson	2-(514)871-4233
Sharon Murray	6-(339)759-2590
Jane Lawrence	5-(567)855-2610
Jessica West	0-(456)975-8837
Elizabeth Castillo	6-(982)287-3754
Judith Richardson	0-(468)724-0126
Heather Brown	1-(803)561-9841
Helen White	7-(510)730-6579
Frances Coleman	5-(822)361-8771
Sandra Martinez	2-(262)910-4450
Diana Wallace	7-(323)416-4285
Julie Butler	3-(768)572-8413
Karen Nelson	7-(426)499-5633
Andrea Hunt	6-(222)221-9412
Heather Ruiz	6-(290)558-6018
Heather Phillips	7-(510)063-6906
Judith Austin	9-(673)301-0600
Susan Dunn	4-(320)837-8522
Jacqueline Edwards	6-(252)165-0095
Betty Holmes	4-(477)950-7932
Bonnie Fuller	0-(894)701-5254
Kelly Nelson	2-(645)727-1809
Laura Schmidt	9-(826)957-0486
Angela Jackson	7-(446)284-9604
Theresa Harvey	1-(666)668-0425
Anne Fisher	7-(703)929-1127
Karen Olson	3-(926)975-0534
Anne Lynch	8-(538)141-0251
Marilyn Hunt	7-(210)850-1359
Carol Graham	5-(012)426-6399
Beverly Wheeler	7-(482)383-3927
Beverly Romero	2-(691)317-1645
Jacqueline Hunt	3-(209)313-5060
Heather Owens	2-(145)608-8417
Jean Perry	2-(372)818-7120
Stephanie Graham	5-(200)179-1566
Mildred Ruiz	4-(980)536-0080
Linda Gutierrez	4-(081)991-0215
Jean Evans	5-(869)376-3598
Wanda King	8-(490)671-9063
Gloria Gibson	6-(053)363-0134
Lisa Rodriguez	0-(703)460-0291
Carolyn Mcdonald	2-(692)684-6765
Annie Gordon	8-(567)267-1274
Craig Lawson	4-(508)260-2417
Deborah Gardner	4-(938)355-1165
Donna Riley	9-(856)270-2676
Patricia Hicks	4-(592)365-7304
Karen Dean	2-(548)122-4221
Martha Rogers	9-(268)526-3481
Carolyn Harvey	4-(090)860-4092
Bonnie Fox	9-(444)692-1178
Jacqueline Larson	0-(874)157-3873
Janice Snyder	1-(204)273-5236
Patricia Reed	0-(009)454-9924
Lois Johnson	0-(886)267-9696
Cynthia Arnold	4-(921)418-8438
Nicole Kelly	3-(067)274-6174
Lois Sanchez	2-(725)316-6453
Christine Stevens	3-(983)986-6395
Robin Patterson	4-(696)165-0881
Janice Stevens	3-(735)308-7615
Paula Patterson	4-(442)082-8949
Rebecca Miller	1-(016)021-3267
Norma Montgomery	0-(757)237-5927
Maria Hughes	4-(839)621-4868
Bonnie Montgomery	6-(558)777-6121
Janet Perry	3-(061)058-5476
Rachel Evans	0-(318)373-3639
Jessica Simmons	4-(739)409-8370
Brenda Jones	2-(170)462-8616
Jessica Myers	9-(650)495-5922
Alice Chavez	3-(010)834-9322
Katherine Burke	3-(349)547-9859
Carolyn Fowler	3-(920)382-6309
Annie Moreno	9-(455)137-0221
Lori Carr	2-(575)635-5498
Amy Carter	8-(877)278-6577
Linda Daniels	9-(174)097-3651
Kelly White	0-(537)807-6422
Annie Smith	6-(959)248-8013
Carol Ford	4-(639)357-9872
Kathleen Cruz	0-(578)168-2567
Angela James	1-(946)877-9836
Janet Powell	0-(628)564-5252
Linda Ross	5-(630)657-6426
Denise Wright	0-(349)386-0917
Carol Watson	4-(605)441-3292
Janice Spencer	3-(722)097-5971
Wanda Frazier	6-(028)609-7821
Kathryn Hall	4-(045)281-9396
Andrea Gilbert	1-(967)034-4273
Nancy Carroll	1-(670)291-6770
Maria Robinson	9-(656)972-9948
Nicole Sanchez	8-(648)585-3056
Michelle Young	2-(142)869-2412
Marilyn Thomas	5-(138)405-6581
Angela Dunn	4-(543)274-6299
Bonnie Lopez	7-(523)933-4044
Kathleen Lawson	1-(942)510-3347
Tammy Perez	2-(961)078-7589
Carol Allen	8-(045)663-1993
Alice Armstrong	8-(379)892-6478
Judith Wallace	7-(985)140-8691
Janet Boyd	3-(378)866-1926
Karen Morris	5-(620)697-6477
Anna Matthews	6-(345)892-9216
Annie Lane	8-(253)531-7364
Denise Nguyen	0-(435)950-4900
Sandra Graham	6-(884)166-8028
Norma Hamilton	0-(785)962-9109
Sara Young	3-(497)993-5021
Carolyn Crawford	5-(489)869-6306
Emily Porter	2-(036)557-1010
Ann Woods	6-(318)048-2176
Deborah Kelly	2-(708)276-9781
Anna Wallace	8-(648)509-2543
Barbara Clark	4-(557)423-3289
Jane Mills	0-(865)457-0086
Judith Spencer	1-(006)850-8202
Kathleen Lane	8-(245)154-8620
Joan Richards	9-(167)896-9006
Lori Gordon	5-(713)666-9883
Mary West	0-(524)115-6959
Denise Fisher	5-(843)743-0964
Paula Hart	0-(471)498-8369
Sara Kelley	8-(049)939-1913
Judy Hawkins	6-(859)975-0429
Janice Rodriguez	8-(373)589-1014
Kathy Hansen	3-(855)823-4960
Anne Hill	7-(365)240-4807
Janet Moore	4-(483)718-3061
Christina Johnson	9-(029)458-3283
Karen Miller	6-(629)196-8938
Jane Peterson	5-(317)782-7611
Theresa Baker	7-(038)525-0415
Rose Robinson	7-(847)344-9747
Cynthia Graham	4-(486)223-3296
Jessica Reynolds	2-(327)803-7397
Anna Schmidt	3-(039)949-3571
Sharon Perry	4-(214)624-2844
Jean Hanson	6-(278)910-2154
Laura Sanders	1-(727)567-7871
Rebecca Dean	7-(721)630-0155
Elizabeth Hill	9-(669)885-1648
Jane White	9-(316)898-8633
Kathryn Price	9-(185)440-7615
Julie Garrett	7-(593)161-2660
Doris Adams	1-(385)397-2137
Martha James	2-(884)544-6063
Angela Watson	5-(022)515-2619
Emily Gonzales	3-(979)090-3098
Amanda Elliott	1-(111)669-6407
Christine Long	7-(269)388-9154
Joan Diaz	7-(390)946-4767
Doris Alvarez	0-(415)221-8919
Denise Little	9-(784)170-8642
Tammy Patterson	9-(541)307-6199
Barbara Sullivan	3-(809)443-3744
Jean Sanchez	9-(868)843-6945
Robin West	6-(765)851-3345
Julie Brooks	5-(922)382-6768
Sharon Brooks	3-(530)211-4036
Lori Peterson	3-(752)537-6080
Betty Robertson	3-(642)228-5490
Betty Turner	9-(658)648-8609
Cheryl Turner	3-(133)431-0494
Dorothy Welch	1-(914)100-6034
Gloria Wheeler	2-(386)101-9845
Margaret Green	0-(046)591-3492
Kathryn Martinez	2-(741)415-5041
Theresa Bowman	8-(489)513-5059
Michelle Richardson	2-(653)539-4046
Sandra Jordan	7-(568)036-1172
Jennifer Elliott	2-(687)826-4516
Lillian Banks	5-(513)149-7093
Martha Berry	5-(494)917-4835
Cheryl Bowman	3-(892)427-4368
Rebecca Meyer	7-(433)898-3820
Mildred Turner	0-(719)867-4113
Margaret Perez	0-(246)179-2741
Kelly Morris	3-(843)360-7203
Alice Brown	5-(328)159-1120
Joan Alexander	4-(858)492-9795
Beverly Phillips	8-(119)614-1671
Lois Fox	8-(839)320-8811
Cynthia Wilson	7-(258)197-4628
Virginia Cox	5-(243)118-9169
Patricia Bishop	7-(996)446-5508
Norma Perkins	6-(820)866-5006
Frances Morgan	3-(057)789-1936
Diane Lynch	5-(402)398-3396
Christine Harvey	6-(614)670-1821
Kathryn Wheeler	5-(227)772-0128
Irene Young	2-(855)308-3307
Stephanie Carroll	4-(749)427-8437
Phyllis Price	0-(626)122-6428
Andrea Mason	6-(407)657-4588
Angela Ward	7-(344)821-8287
Kimberly Chapman	4-(121)343-1663
Margaret Hawkins	6-(200)706-2476
Theresa George	3-(213)241-0360
Cynthia Kelley	2-(502)647-1323
Elizabeth Pierce	9-(385)950-5826
Gloria Ruiz	2-(858)903-5793
Virginia Mendoza	5-(248)630-6460
Kelly Mccoy	2-(872)570-2821
Lori Burns	0-(968)948-8658
Martha Parker	3-(440)199-6618
Helen Lynch	5-(182)807-5431
Bonnie Perez	4-(115)614-9003
Pamela Warren	7-(836)154-4165
Lois Hudson	8-(274)642-1895
Ashley Dean	0-(948)358-2419
Sarah Harris	7-(225)505-7085
Laura Stevens	4-(818)417-4652
Carol Hughes	3-(484)508-9805
Marilyn Kim	6-(685)393-8039
Bonnie Thompson	9-(063)531-0313
Janice George	5-(692)239-1565
Linda Fields	4-(799)381-0776
Rachel Peters	3-(522)292-4899
Susan Mason	4-(722)413-2847
Rebecca Stewart	8-(260)634-1587
Anne Meyer	8-(295)494-7537
Debra Freeman	9-(311)976-1173
Kimberly Fuller	6-(743)673-6944
Cheryl Brooks	8-(442)150-7120
Rachel Clark	1-(788)859-5439
Kelly Marshall	8-(964)643-7732
Christina Hall	5-(270)533-9992
Doris Johnson	2-(560)021-1280
Harry Snyder	1-(291)670-7652
Laura Coleman	1-(804)297-5192
Wanda Kelly	8-(044)743-1983
Donna Martin	3-(511)121-2000
Evelyn Bennett	2-(365)243-0401
Pamela Edwards	7-(611)074-6777
Bonnie Elliott	2-(019)101-4176
Carolyn Bennett	4-(156)627-7754
Pamela Owens	6-(320)099-6617
Jean Harvey	4-(286)545-4921
Carol King	4-(997)526-1137
Katherine Ortiz	2-(977)115-6696
Barbara Lewis	8-(435)338-4761
Anna Cook	4-(102)931-4490
Jean Montgomery	7-(169)971-9088
Gloria Perkins	3-(588)974-8479
Rebecca Rivera	8-(225)981-8947
Gloria Rose	0-(168)600-2029
Jessica Hunter	2-(850)599-7551
Judith Olson	9-(427)265-0217
Anna Freeman	4-(576)409-1050
Rose Stewart	3-(348)358-7154
Rose Gomez	9-(346)117-2415
Doris Murphy	2-(858)136-8030
Stephanie Jones	7-(137)470-3853
Kathy Freeman	3-(038)467-8960
Julie Allen	7-(098)697-3855
Laura Boyd	3-(081)159-1996
Maria Reyes	1-(156)055-8252
Carolyn Russell	9-(572)837-4178
Judith Cruz	8-(110)482-5073
Bonnie Murray	3-(372)972-9484
Christine Scott	3-(966)664-7087
Brenda Sullivan	2-(806)849-9994
Debra West	0-(180)310-2476
Norma Reed	6-(277)181-9708
Patricia Scott	3-(920)475-0919
Joyce Washington	6-(464)402-2763
Virginia Perez	8-(725)191-1713
Susan Garcia	1-(441)095-4510
Christine Rose	2-(264)774-4335
Rebecca Tucker	1-(355)359-8216
Sarah Coleman	9-(263)233-4313
Lois Davis	4-(096)363-7917
Paula Ruiz	1-(836)722-7142
Linda Bell	2-(503)191-3714
Linda Parker	9-(312)082-4315
Gloria Carr	7-(611)227-8428
Cynthia Johnston	6-(957)824-5111
Amy Harris	0-(859)619-5762
Angela Wagner	2-(232)424-7996
Alice Graham	8-(294)977-6590
Joyce Carter	2-(842)760-4552
Jane Gibson	0-(605)333-9593
Heather Franklin	2-(989)639-1792
Rebecca Webb	3-(995)098-3639
Helen Reid	6-(751)092-2264
Kathryn Bradley	9-(974)017-1738
Michelle Rodriguez	8-(661)755-1883
Gloria Howard	1-(768)927-1403
Joyce Robertson	3-(882)837-5864
Doris Fernandez	0-(025)807-2545
Phyllis Reynolds	8-(394)722-0160
Kelly Bowman	3-(072)443-1749
Patricia Howell	9-(122)363-9451
Cheryl Kennedy	6-(400)032-3189
Joan Gomez	4-(203)401-5707
Marie Ferguson	2-(523)220-9140
Virginia Freeman	2-(558)036-7470
Maria Rice	5-(556)637-9742
Helen Adams	0-(821)577-8003
Patricia Castillo	4-(182)100-4370
Linda Olson	7-(250)922-1393
Mary Ortiz	8-(868)552-8029
Ruby Montgomery	9-(422)814-0592
Margaret Wagner	0-(825)873-7932
Gloria Alexander	3-(874)248-2049
Helen Carpenter	3-(228)971-6808
Debra Romero	5-(171)632-3880
Doris Gilbert	0-(238)756-5833
Alice Thompson	9-(116)464-0460
Stephanie Gibson	1-(111)572-2241
Virginia Butler	4-(788)817-2278
Bonnie Chavez	7-(731)078-3968
Nancy Gordon	0-(902)368-6545
Jane Carroll	9-(288)937-9534
Carol Bishop	4-(103)965-0993
Rebecca Sullivan	8-(141)452-0107
Louise White	1-(027)189-8252
Frances Allen	8-(670)796-9492
Andrea Collins	2-(377)475-2555
Lois Weaver	8-(263)586-4424
Sandra Kennedy	6-(795)115-8456
Jacqueline Lawson	4-(280)897-2970
Christina Edwards	7-(316)607-5284
Sara Schmidt	3-(753)191-9280
Sandra Alexander	2-(645)052-1526
Janet Moore	2-(423)482-3705
Mildred Stewart	2-(276)128-8501
Judith Greene	8-(768)609-8231
Kimberly Jordan	0-(432)860-8383
Ruth Diaz	9-(134)605-0491
Tammy Thompson	1-(034)212-7221
Christina Myers	3-(244)415-3704
Robin Jacobs	9-(145)110-7822
Joyce Jackson	5-(141)634-2657
Sara Schmidt	1-(183)360-5867
Michelle Thomas	8-(857)499-6072
Virginia Lynch	4-(866)031-9526
Cheryl Burns	8-(247)388-1626
Mary Welch	7-(554)044-0594
Laura Vasquez	6-(004)953-9416
Paula Olson	7-(263)264-5356
Linda Medina	6-(942)720-6201
Amanda Grant	3-(002)049-8311
Jennifer Rodriguez	3-(048)250-0498
Jessica Stephens	9-(764)011-9723
Linda Hernandez	2-(593)200-6997
Rose Coleman	0-(228)149-8104
Annie Foster	6-(780)298-4183
Joan Willis	3-(843)278-1558
Bonnie Chavez	9-(512)599-5105
Beverly Bennett	4-(847)376-5764
Kathleen Hansen	0-(040)893-3204
Lois Burke	3-(780)524-7766
Margaret Weaver	6-(531)462-2298
Kimberly Gonzales	3-(527)570-9196
Bonnie Gonzales	7-(877)606-8984
Michelle Rodriguez	5-(762)754-9564
Ruby Lawrence	0-(719)614-2142
Michelle Holmes	3-(909)316-0404
Marilyn Cunningham	8-(174)582-8338
Janet Perry	4-(829)192-0083
Karen Taylor	1-(309)294-8942
Rebecca Walker	4-(483)252-8369
Jacqueline Gonzales	2-(158)306-9909
Marie Greene	2-(370)735-5296
Betty Morris	6-(306)264-9686
Rachel Mills	2-(679)237-9063
Mary Porter	0-(054)995-2347
Teresa Robinson	4-(955)409-0221
Judith Fowler	3-(727)014-9614
Jessica Powell	1-(032)338-5881
Angela Jones	2-(047)587-4636
Virginia Cunningham	7-(135)911-7117
Ann Campbell	6-(404)320-8595
Lois Owens	7-(804)021-6591
Jacqueline Rice	8-(932)408-7307
Doris Nelson	9-(932)855-9375
Barbara Marshall	7-(539)698-7435
Evelyn Cook	2-(215)720-3857
Wanda Brooks	9-(037)999-0572
Debra Hart	7-(237)629-1169
Doris Graham	2-(113)811-1824
Janet Lane	2-(574)859-6971
Ann Reynolds	2-(111)435-9115
Bonnie Rose	5-(650)431-0815
Denise Ramirez	6-(679)994-9915
Janice Robertson	4-(650)584-7732
Paula Peters	7-(231)415-2407
Brenda Griffin	7-(755)612-8001
Theresa Schmidt	5-(450)331-4940
Christine Hart	9-(249)116-3046
Kelly Freeman	1-(273)234-8474
Cheryl Parker	5-(096)049-6878
Andrea Burton	9-(223)775-6367
Judith Sims	6-(691)712-6422
Janice Armstrong	6-(223)905-0859
Patricia Wood	0-(742)412-8230
Martha Allen	2-(719)187-4504
Robin Hunter	9-(510)385-5359
Elizabeth Berry	1-(924)150-9829
Shirley Chavez	3-(033)953-2657
Kathy Medina	2-(748)599-5934
Tammy Elliott	8-(220)677-1911
Lisa Armstrong	4-(187)189-8313
Evelyn Stone	5-(124)642-5591
Phyllis King	3-(084)507-3741
Rebecca Carroll	1-(377)584-0009
Jean Alvarez	1-(349)208-9868
Katherine Moreno	6-(295)607-7321
Jacqueline Chapman	7-(801)856-8888
Lisa Campbell	7-(087)727-6152
Margaret Wells	5-(216)581-8815
Kathryn Dean	5-(421)058-5406
Carol Adams	2-(906)525-6062
Sarah Ellis	3-(100)830-3242
Amy Franklin	0-(786)383-2276
Nicole Jordan	8-(166)008-8679
Michelle Chavez	1-(242)249-2485
Ashley Welch	4-(205)406-5271
Jessica Richardson	3-(675)596-5808
Heather Dunn	5-(801)308-3263
Irene Olson	9-(656)529-5873
Kathleen Owens	4-(974)956-9585
Jane Franklin	0-(325)965-3193
Stephanie Hill	1-(999)291-2966
Michelle Ferguson	2-(295)266-7030
Evelyn Henderson	9-(625)835-5312
Marilyn Graham	8-(535)408-0163
Amanda Parker	9-(615)530-1237
Helen Russell	3-(092)448-8513
Karen Hughes	5-(501)857-6579
Angela Marshall	2-(577)699-9548
Laura Graham	7-(675)254-5720
Anna Carter	7-(491)132-5590
Lois Hart	7-(033)936-6049
Debra Armstrong	5-(885)600-4983
Janet Green	5-(613)057-4222
Diane Stanley	4-(346)077-6042
Judy Adams	6-(451)664-9046
Doris Myers	6-(330)522-0301
Laura Peterson	1-(454)989-0547
Melissa Banks	9-(080)775-6937
Cheryl Oliver	5-(004)409-9109
Linda Bennett	8-(014)754-6854
Kathleen Gardner	9-(399)238-3789
Michelle Porter	3-(950)526-4057
Nancy Martin	4-(629)618-5165
Amy Ryan	5-(193)546-6959
Carolyn Johnson	4-(898)217-4461
Ann Torres	5-(987)922-5392
Nancy Burke	0-(873)213-4940
Kathleen Rodriguez	9-(532)049-9669
Alice Hawkins	6-(825)205-6670
Jean Arnold	4-(207)294-9728
Doris Gibson	0-(763)416-0961
Margaret Jordan	8-(553)580-8078
Tina Frazier	8-(283)729-1756
Debra Montgomery	7-(893)867-6897
Robin Cox	8-(305)838-9667
Ruby Morrison	5-(531)202-7771
Gloria Anderson	5-(064)659-9816
Angela Reed	9-(172)179-3216
Debra Diaz	1-(622)454-7729
Kathleen Moreno	3-(437)142-6615
Rebecca Willis	4-(344)163-9407
Irene Black	1-(404)707-0264
Betty Jacobs	4-(373)787-5977
Phyllis Hill	6-(846)935-9705
Andrea Gilbert	5-(030)592-8692
Diane Ramirez	0-(151)712-5555
Sarah Morris	9-(593)873-6207
Shirley Campbell	5-(363)425-0635
Helen Moreno	2-(561)985-2609
Lori Lawson	4-(426)588-9146
Janet Franklin	9-(145)028-2074
Susan Alvarez	7-(041)929-2618
Diane Marshall	9-(628)279-8592
Ruby Collins	3-(664)115-5126
Ann Watkins	8-(502)124-5102
Rachel Armstrong	7-(215)891-1785
