Jane Hayes	2-(643)886-5222
Teresa Howard	0-(102)525-6405
Katherine Torres	7-(799)520-1799
Helen Foster	4-(993)047-9916
Janet Harrison	4-(474)409-6755
Virginia Sims	3-(534)075-4067
Teresa Long	2-(441)653-3826
Janice Jones	8-(803)720-7057
Lisa Price	9-(797)618-8709
Tammy White	6-(704)048-2348
Dorothy Mason	2-(418)989-3062
Nancy Shaw	3-(292)778-8567
Robin Tucker	4-(395)441-9445
Pamela Harris	9-(852)085-3120
Cheryl Thomas	3-(541)581-9130
Catherine Bowman	6-(405)245-3544
Norma Fernandez	6-(300)464-9944
Teresa Bradley	3-(081)355-6951
Julia Coleman	9-(735)305-2791
Bonnie Carter	4-(739)883-2692
Irene Alvarez	8-(522)080-4831
Doris Tucker	9-(205)322-7043
Jean Sullivan	9-(608)513-5392
Joan Baker	0-(890)605-0760
Pamela Butler	6-(118)521-1440
Shirley Freeman	3-(493)477-4816
Lois Wood	5-(811)562-8028
Kelly Ryan	2-(174)525-8340
Betty Lane	8-(603)867-9752
Doris Phillips	9-(721)522-1726
Gloria Mccoy	3-(063)738-9575
Louise Armstrong	9-(051)767-0968
Cynthia Moreno	6-(941)201-2392
Joan Turner	9-(649)374-0773
Rose Daniels	8-(202)807-5975
Emily Henry	6-(993)672-7283
Karen Ferguson	0-(992)792-5125
Amanda Hanson	4-(234)954-3513
Anna Collins	8-(423)108-5176
Anna Moore	6-(108)054-1724
Kathryn Hayes	4-(659)824-6860
Norma Mitchell	6-(779)423-2096
Evelyn Davis	5-(049)105-1915
Rose Chapman	5-(121)115-8117
Anne Duncan	0-(338)541-9082
Ashley Ross	0-(713)311-9656
Catherine Sanders	7-(714)241-9196
Joyce Torres	0-(356)913-5449
Robin Williams	7-(387)203-7454
Laura Adams	4-(281)586-6971
Julie Hunt	0-(606)011-8808
Sarah Parker	4-(985)990-9264
Elizabeth Fuller	3-(984)710-5598
Shirley Dixon	5-(048)972-1495
Rebecca Rogers	8-(110)708-4876
Sharon Williamson	6-(225)229-9981
Debra Lawrence	4-(932)523-5874
Annie Cunningham	6-(812)487-8833
Rachel Lawson	7-(321)269-1726
Irene Burke	3-(634)725-0033
Kathy Stevens	2-(337)057-6420
Betty Rice	9-(385)019-8281
Kathleen Ferguson	8-(213)353-6257
Linda Lawrence	3-(154)061-4621
Christine Simpson	6-(263)088-7223
Julia Carroll	5-(170)897-9495
Sarah Morris	3-(598)042-7802
Judith Reid	7-(658)381-8475
Joan Brooks	0-(526)016-1924
Heather Rodriguez	3-(569)833-3468
Mildred Bell	1-(392)801-2745
Frances Woods	4-(830)375-4264
Irene Gonzalez	4-(396)613-1289
Rebecca Johnston	9-(907)640-8094
Alice Howell	5-(214)209-6251
Rachel Bowman	6-(794)961-6610
Jean Ward	3-(826)218-0186
Karen Fowler	9-(157)282-7887
Bonnie Brooks	0-(762)019-4917
Ruth Spencer	2-(150)735-3376
Michelle Palmer	5-(497)273-7961
Joyce Grant	9-(211)966-1348
Rebecca Taylor	0-(726)603-3027
Martha Cole	7-(511)387-8719
Stephanie Hawkins	7-(848)668-9827
Nancy Lewis	3-(708)978-6137
Jessica Ray	7-(060)436-5992
Marilyn Jackson	6-(682)550-2803
Karen Brown	7-(914)814-3161
Virginia Martin	2-(639)340-7476
Cheryl Austin	7-(290)123-5971
Tammy Carter	7-(871)858-1569
Christine Day	7-(690)155-3277
Tammy Collins	1-(606)647-4936
Virginia Henderson	3-(436)527-2463
Anna Dunn	9-(771)849-5372
Stephanie Lopez	4-(250)446-3640
Doris Jones	6-(815)435-0067
Debra Allen	1-(178)731-5162
Angela Reyes	2-(043)200-1510
Laura Daniels	1-(814)464-2663
Kathleen Henry	3-(433)295-9436
Susan Webb	9-(720)684-6229
Joyce Jacobs	0-(368)521-5426
Christine Stewart	6-(482)011-0221
Denise Crawford	2-(742)159-5474
Theresa Griffin	4-(972)781-4929
Susan Murray	8-(994)349-5034
Judith Woods	7-(887)081-0107
Cheryl Murray	3-(300)765-5558
Julia Alexander	3-(244)728-5246
Rebecca Bradley	1-(444)899-8940
Karen Nichols	8-(824)012-5693
Cheryl Larson	3-(923)334-8199
Laura Greene	7-(209)472-2250
Shirley Shaw	3-(506)168-0299
Janet Matthews	0-(201)431-4895
Shirley Fox	3-(493)697-5598
Frances Cruz	6-(263)154-0314
Catherine Williams	5-(396)622-6383
Ashley Watson	5-(013)251-4807
Norma Oliver	2-(796)125-6395
Catherine Watkins	1-(626)157-4410
Phyllis Wilson	5-(299)281-4218
Helen Sanders	1-(835)475-6500
Jessica Pierce	3-(762)114-1977
Margaret Kennedy	4-(097)608-6036
Jean Warren	9-(957)729-5410
Jennifer Marshall	4-(500)509-8186
Julie Foster	1-(183)337-4188
Elizabeth Cunningham	0-(608)153-0486
Deborah Wagner	0-(101)651-2170
Donna Peters	2-(252)375-5290
Anna Garza	8-(551)454-1037
Joan Matthews	3-(697)892-6230
Gloria Riley	6-(200)666-4989
Christina Reyes	2-(446)836-6656
Teresa Fernandez	3-(856)868-9407
Paula Lane	6-(971)406-4882
Gloria Murray	9-(229)631-5765
Nicole Austin	3-(684)481-4624
Phyllis Ortiz	4-(006)686-5353
Paula Freeman	0-(011)514-4362
Lillian Rice	5-(278)677-9756
Virginia Murray	8-(406)432-8469
Nicole Gibson	6-(634)048-3347
Tammy Wells	5-(316)228-4332
Nicole Gonzalez	9-(014)115-4515
Jennifer Gardner	8-(941)734-7475
Heather Reynolds	3-(549)387-5169
Lois Mendoza	4-(502)313-7971
Gloria Gilbert	4-(577)411-8642
Elizabeth Murphy	6-(998)901-1077
Donna Mendoza	4-(699)292-1846
Robin Stephens	6-(416)030-9492
Martha Phillips	3-(358)143-1367
Ann Brooks	8-(881)926-7933
Tina Cole	1-(089)606-2031
Christina Bishop	0-(910)882-5631
Ruby Reid	1-(770)634-3169
Emily Hansen	3-(612)931-9665
Phyllis Carpenter	6-(993)229-9001
Denise Weaver	7-(840)780-4467
Mary Richards	2-(289)621-5565
Dorothy Hicks	1-(475)537-6576
Theresa Roberts	3-(687)674-9630
Anna Perkins	8-(066)702-5264
Annie Patterson	9-(441)878-9936
Lillian Reed	0-(193)935-2528
Phyllis Rogers	5-(996)455-6426
