Marilyn Hayes	6-(540)865-2507
Nancy Ross	2-(300)226-2137
Paula Meyer	1-(843)475-4706
Mary George	1-(247)990-6725
Irene Simpson	5-(137)076-3608
Martha Stanley	0-(677)683-3597
Amy Lawson	8-(471)409-3135
Rachel Crawford	3-(275)632-9974
Sara Adams	5-(882)094-7444
Kathy Daniels	6-(435)537-9373
Mary Smith	2-(710)061-1138
Lois Crawford	9-(603)248-2163
Ann West	2-(109)281-8463
Melissa Warren	6-(166)769-2565
Virginia Lopez	1-(864)494-4867
Marie Powell	2-(499)608-5014
Beverly Meyer	3-(740)366-8706
Lori Young	2-(063)522-7261
Betty Baker	0-(212)745-7414
Deborah Hill	3-(631)441-8072
Kimberly Smith	0-(310)626-4329
Rachel Bowman	8-(523)541-2585
Evelyn Johnston	8-(390)812-2649
Stephanie Wheeler	8-(050)699-8246
Julia George	3-(474)008-0788
Gloria Shaw	7-(848)925-9845
Kathleen King	7-(411)040-2266
Lisa Allen	4-(585)902-3826
Debra Hart	6-(937)382-1763
Sarah Chavez	6-(074)974-6420
Julia Alexander	0-(827)491-2205
Betty Wagner	9-(020)985-3985
Cynthia Murphy	1-(394)725-1915
Marie Fields	9-(176)418-8673
Phyllis Nguyen	3-(270)590-8771
Jane Wells	8-(504)826-2388
Stephanie Carr	0-(981)869-2890
Rachel Perez	2-(434)599-9155
Rachel Price	2-(185)171-5581
Stephanie Gibson	0-(306)213-8233
Jacqueline Murphy	2-(140)791-4875
Donna Jenkins	9-(496)502-0905
Jacqueline Brown	5-(493)282-5623
Tammy Baker	7-(828)582-8708
Sharon Ruiz	2-(094)481-6611
Betty Black	1-(854)285-3710
Michelle Martin	1-(244)390-8788
Kathryn Andrews	2-(140)013-6340
Kathryn Watkins	5-(720)584-1254
Betty Martin	3-(484)234-1321
Debra Fields	7-(491)640-1008
Martha Schmidt	5-(914)520-4877
Ann Alvarez	8-(273)022-8420
Jacqueline Clark	5-(254)110-9194
Jane Vasquez	8-(955)580-7722
Jean Crawford	0-(550)602-9889
Wanda Crawford	8-(104)249-4533
Michelle James	3-(590)616-9281
Doris Austin	2-(607)890-0149
Brenda Stevens	3-(190)372-4184
Bonnie Anderson	7-(378)073-4855
Margaret Larson	8-(402)393-9415
Phyllis Cole	3-(178)340-8548
Deborah Hamilton	3-(011)720-7376
Paula Grant	6-(600)103-5380
Sarah Coleman	0-(206)587-3379
Evelyn Morales	9-(990)970-7286
Tina Patterson	2-(045)756-2927
Jennifer Gomez	3-(707)303-6661
Elizabeth Simpson	4-(355)704-2099
Christine Alvarez	1-(095)297-4294
Bonnie Gonzalez	5-(167)015-5366
Jean Burke	0-(034)433-0826
Alice Coleman	4-(197)454-6333
Mary Wood	4-(247)172-6198
Pamela Schmidt	2-(467)481-5933
Denise Russell	4-(193)593-1788
Joyce Cole	7-(310)451-5243
Catherine Robinson	4-(379)865-5340
Ashley Jackson	3-(843)457-1114
Lisa Walker	3-(153)085-2219
Nancy Willis	1-(497)511-9040
Sara Dixon	2-(331)774-8215
Robin Castillo	5-(261)149-1961
Paula Carter	8-(329)530-6937
Judy Franklin	4-(252)500-4412
Theresa Freeman	4-(874)133-9985
Deborah Turner	8-(942)969-3836
Frances Hunter	7-(440)408-8225
Ruby Long	4-(939)553-2215
Patricia Harris	0-(623)143-0866
Alice Gutierrez	7-(723)503-0153
Louise Davis	3-(859)180-8276
Julie Oliver	3-(691)454-8065
Emily Phillips	9-(910)664-9635
Margaret Ruiz	5-(064)822-5302
Ruth Hunt	3-(431)136-4565
Rebecca Welch	2-(863)625-5567
Elizabeth Lawson	9-(098)588-6885
Judy Morris	6-(983)673-3178
Mary Ramos	9-(630)244-5065
Deborah Bailey	7-(579)337-9481
Tammy Gutierrez	2-(653)398-4142
Deborah Burton	1-(864)514-7299
Teresa Ross	5-(777)811-2698
Betty Diaz	2-(742)328-6567
Lisa Cooper	6-(229)101-5241
Joan Bowman	6-(213)420-2719
Sara Torres	4-(706)240-9109
Nancy Butler	8-(299)393-4918
Kimberly Wright	8-(128)114-6284
Ruth Fox	4-(903)276-9667
Amy Riley	1-(798)677-2654
Denise Lynch	9-(903)194-9112
Kelly King	2-(430)292-3862
Mildred Dean	1-(055)123-8314
Ruby Patterson	4-(364)343-1833
Christine Hayes	3-(931)434-9927
Kathryn Day	1-(971)027-1783
Barbara Simpson	6-(501)675-7289
Lois Wheeler	4-(917)271-1093
Bonnie Hansen	2-(622)228-5607
Teresa Miller	7-(654)760-2311
Cynthia Boyd	4-(309)181-9943
Patricia Knight	0-(527)813-3558
Shirley Owens	2-(327)440-8225
Deborah Reynolds	1-(508)542-0243
Annie Ray	7-(649)024-2576
Emily Medina	4-(417)823-3404
Barbara Reyes	5-(572)613-9311
Ann Ramirez	1-(482)897-3408
Jessica Rodriguez	9-(395)604-5465
Patricia Day	5-(723)711-2231
Lois Hudson	4-(923)853-4766
Brenda Weaver	0-(234)947-0820
Mary Perkins	6-(263)609-9716
Robin Powell	3-(087)058-9750
Donna Mason	6-(581)262-9383
Amy Lopez	8-(652)585-4661
Cheryl Schmidt	7-(461)247-4246
Cynthia Mendoza	4-(348)153-2000
Kathy Mccoy	6-(453)421-8017
Jane Simpson	3-(201)426-4908
Nicole Vasquez	2-(042)179-1880
Lois Long	7-(868)246-6371
Karen Stanley	6-(573)081-0451
Doris Alvarez	2-(454)088-9370
Anna Murphy	4-(234)503-3053
Bonnie Young	6-(521)350-1579
Doris Woods	5-(159)779-7524
Theresa Long	7-(207)755-0743
Stephanie Harrison	6-(449)251-5523
Deborah Flores	1-(169)053-8441
Andrea Hamilton	6-(529)839-7053
Emily Boyd	0-(109)779-2514
Gloria Armstrong	0-(820)398-3379
Cynthia Weaver	9-(616)053-3487
Laura Mills	0-(759)784-7116
Rose Scott	9-(160)167-3375
Rose Olson	9-(903)334-8823
Annie Welch	5-(014)949-9593
Frances Mendoza	6-(635)572-5574
Susan Owens	6-(020)363-9211
Virginia Kim	3-(384)814-0954
Helen Flores	6-(094)304-1972
Sarah Evans	9-(308)450-6116
Nancy Gonzalez	0-(696)915-5087
Judith Baker	8-(294)945-4979
Ann Robinson	6-(535)912-7951
Maria Smith	3-(994)353-7635
Michelle Day	3-(618)037-6197
Stephanie White	8-(129)800-3613
Melissa Roberts	8-(417)273-9534
Jennifer Garcia	3-(332)388-7373
Barbara Dunn	9-(525)634-4262
Linda Little	1-(754)044-3887
Melissa Black	1-(762)401-7546
Christina Warren	1-(903)485-2418
Virginia Hughes	7-(794)939-1793
Sandra Murphy	8-(616)418-9769
Ruby Hawkins	1-(811)492-6786
Wanda Mitchell	3-(739)726-0327
Theresa Carroll	5-(010)754-4364
Judy Castillo	6-(304)571-1400
Kathleen Brooks	6-(441)907-2250
Laura Baker	5-(629)315-2665
Marilyn Warren	2-(054)342-0909
Angela Carter	3-(543)995-5957
Linda Spencer	2-(636)328-4134
Rose Reid	0-(746)751-6845
Rachel Jacobs	4-(980)440-9093
Ruth Stewart	7-(530)574-3643
Debra Shaw	4-(458)653-6122
Louise Carroll	6-(248)799-6362
Julie Evans	6-(041)550-2157
Diana White	1-(233)640-3630
Lois Freeman	6-(352)290-3918
Amy Warren	7-(003)891-8702
Janice Garrett	4-(378)169-2065
Rose Jacobs	9-(297)967-4878
Heather Gordon	6-(107)815-7997
Doris Montgomery	4-(984)490-4624
Judy Rogers	9-(227)398-8205
Lisa Evans	5-(560)061-6555
Gloria Holmes	1-(493)068-3362
Helen Scott	0-(491)152-6090
Mary Perez	3-(493)141-2565
Dorothy Brooks	4-(381)098-0515
Frances Harper	9-(783)656-1888
Lisa Stanley	6-(323)410-0286
Ruth Gonzales	6-(412)466-7671
Julia Wilson	5-(047)875-9198
Kelly Carroll	6-(916)484-2426
Diana Watson	3-(471)967-4217
Lois Graham	7-(579)344-9803
Lillian Porter	3-(743)815-7170
Mary Rivera	8-(332)170-5782
Laura Williams	0-(784)506-8694
Christine Carroll	5-(870)453-5442
Rachel Harvey	6-(367)996-9579
Sandra Little	6-(584)922-7879
Brenda Tucker	1-(368)224-6588
Tina Thompson	0-(915)327-0090
Betty Riley	8-(927)271-9031
Sara Austin	0-(720)847-1929
Emily Young	3-(013)065-5916
Anna Webb	7-(905)218-2422
Dorothy Boyd	2-(792)854-9519
Amy Wells	3-(726)250-8016
Stephanie Bennett	8-(559)385-8222
Betty Howell	3-(564)292-2265
Alice Hunter	8-(498)661-9201
Carolyn Ford	1-(224)184-2599
Catherine Gilbert	5-(304)263-6352
Carol Anderson	7-(814)268-2345
Katherine Howell	4-(945)676-1326
Nancy Cook	2-(377)795-6199
Louise Chavez	0-(667)127-3764
Robin Carr	6-(736)825-2086
Julie Clark	4-(745)931-5473
Theresa Marshall	9-(527)520-4736
Phyllis Gray	8-(190)403-5610
Carolyn Porter	1-(364)208-1109
Lisa Weaver	7-(547)754-5876
Heather Barnes	6-(006)441-8969
Christina Burke	3-(632)688-9390
Amy Johnston	1-(159)180-2424
Kelly Brooks	7-(772)822-5428
Cheryl Lane	6-(868)390-2273
Gloria Bailey	3-(751)014-7878
Phyllis West	5-(996)388-2832
Betty Vasquez	2-(664)012-8645
Angela Nichols	2-(130)123-9786
Debra Lawrence	9-(332)918-0762
Janet Barnes	9-(475)708-8438
Janet Hicks	6-(736)326-1879
Christine Jacobs	7-(363)626-6502
Catherine Davis	1-(688)590-8759
Ashley Spencer	7-(057)568-1081
Cynthia Morales	6-(338)276-8492
Phyllis Wells	1-(317)032-8144
Rose Ray	8-(057)070-6636
Julia Campbell	4-(599)580-4446
Brenda Nichols	6-(843)388-9998
Stephanie Jones	0-(107)027-7904
Martha Graham	9-(799)006-0663
Patricia Williamson	8-(278)604-2538
Diana Murray	3-(100)870-8206
Rebecca Hanson	0-(748)392-3749
Doris Harvey	8-(563)244-4159
Dorothy Bennett	3-(321)411-0437
Kathryn Martin	6-(338)156-3121
Lillian Carpenter	5-(662)373-8094
Anne Lynch	0-(892)529-3318
Kathy Cole	7-(940)446-8936
Lori Cunningham	2-(243)550-9599
Julia Peterson	1-(067)598-0171
Marie Price	1-(057)989-6901
Anne Moore	7-(554)039-4869
Michelle Johnson	0-(731)082-5471
Janet Duncan	8-(670)279-6375
Lisa Olson	1-(761)600-1100
Kelly Coleman	0-(024)191-1999
Catherine Lynch	8-(991)534-2660
Norma Mills	6-(535)804-4463
Kathy Myers	1-(951)532-5612
Jacqueline Cunningham	9-(054)034-1686
Shirley Cox	9-(304)750-7971
Kelly Myers	7-(193)986-8936
Norma Shaw	1-(533)374-1588
Julia Wright	3-(251)296-7385
Christine Mills	0-(378)163-2741
Lillian Warren	4-(780)667-0361
Kathy Wilson	7-(319)384-0621
Debra Nguyen	8-(389)098-3070
Michelle Wells	5-(543)983-1775
Christine Thomas	2-(350)735-4562
Pamela Gomez	3-(761)219-3417
Andrea Spencer	8-(686)910-3381
Catherine Baker	7-(656)048-9954
Ashley Jones	0-(318)885-6352
Helen Mendoza	7-(167)849-6248
Annie Spencer	3-(127)995-3931
Frances Ryan	7-(756)838-5857
Heather Cox	0-(149)976-4676
Theresa Wells	3-(544)578-2433
Jane Duncan	9-(443)335-6921
Margaret Campbell	6-(852)374-9230
Elizabeth Burton	0-(068)794-1956
Martha Bowman	0-(535)975-1462
Ruby Howard	9-(502)508-5444
Patricia Perkins	2-(189)394-3566
Ashley Carpenter	0-(519)354-8391
Heather Rogers	9-(672)086-2883
Virginia Hawkins	0-(666)758-3160
Christina West	4-(286)333-8934
Emily Cook	8-(149)467-3741
Jacqueline Mason	6-(453)372-9280
Janet Fields	3-(747)321-2317
Lisa Burke	2-(657)639-5095
Lillian Evans	0-(121)454-4740
Julia Ortiz	2-(392)097-8034
Mildred Hanson	2-(849)659-8331
Diana Gilbert	8-(797)813-8230
Martha Oliver	7-(534)772-3499
Betty Wallace	1-(214)731-4256
Joyce Young	8-(846)455-4460
Kimberly Ortiz	3-(350)288-3282
Kathleen Banks	4-(758)485-9192
Catherine Riley	4-(105)313-7930
Ruth Perkins	3-(482)325-8052
Nancy Fisher	1-(705)651-1141
Kathleen Garza	0-(209)904-9119
Jean Hudson	3-(473)452-6939
Dorothy Ford	4-(100)377-6814
Frances Greene	6-(737)111-2934
Lisa Gray	8-(672)448-1344
Tina Lawrence	7-(097)007-0113
Margaret Holmes	7-(654)285-9759
Rose Willis	3-(378)214-1625
Judy Garza	4-(993)527-3128
Katherine Cole	8-(744)241-4035
Betty Payne	9-(872)387-4226
Lori Gutierrez	7-(846)387-8575
Brenda Fields	5-(059)511-9895
Kelly Kim	8-(323)540-8534
Emily Alvarez	4-(149)919-0649
Diana Coleman	7-(636)569-4413
Denise Rose	1-(206)917-0241
Nancy Andrews	8-(764)292-6775
Paula Perez	5-(320)002-9742
Ann Green	0-(820)277-5561
Kimberly Harris	0-(047)552-2852
Shirley Coleman	3-(201)488-2495
Alice Hansen	3-(323)665-9056
Amy Diaz	8-(406)593-8338
Sharon Evans	4-(692)079-6051
Frances Henderson	6-(298)602-1314
Judy Hall	9-(592)039-7234
Carol Porter	2-(744)267-2524
Shirley Rivera	9-(017)166-2224
Lori Hamilton	8-(577)598-5403
Julia Lopez	2-(830)881-0837
Amy Weaver	1-(389)673-1756
Sandra Lewis	2-(730)887-1277
Evelyn Cole	2-(660)490-3860
Michelle Lee	5-(396)419-1470
Catherine Woods	5-(245)991-3684
Phyllis Gardner	1-(611)641-3236
Anna Fuller	1-(668)881-4936
Lillian Mills	6-(530)676-9388
Anne Taylor	6-(876)208-2500
Debra Nguyen	8-(625)686-0194
Deborah Wagner	2-(461)805-8055
Norma Green	9-(548)780-5792
Bonnie Ray	2-(205)841-1483
Andrea Chavez	6-(152)909-4945
Nancy Peters	5-(422)788-3187
Ashley Johnson	4-(883)527-3868
Nicole Warren	1-(958)846-5369
Amanda Boyd	9-(399)625-4685
Patricia Gordon	8-(649)727-2713
Frances Nichols	9-(664)068-4979
Debra Gonzalez	5-(800)169-8654
Amanda Mccoy	2-(671)137-9797
Maria Fisher	9-(797)487-9294
Martha Johnson	2-(745)135-8858
Melissa Rodriguez	2-(253)960-3770
Kathryn Lane	5-(653)889-2183
Jacqueline Parker	6-(479)685-2777
Donna Lee	9-(874)647-9387
Norma Spencer	4-(248)835-0998
Lori Nichols	6-(493)718-6009
Amy Matthews	1-(877)542-0744
Anne Moreno	6-(965)181-4911
Anne Woods	0-(166)000-9669
Maria Nguyen	5-(648)849-8414
Angela Stewart	1-(954)451-1641
Debra Perkins	8-(758)772-4441
Janice Black	1-(599)999-6811
Brenda Willis	5-(023)664-5225
Kathryn Jordan	1-(991)615-3806
Debra Baker	0-(895)780-5279
Janet Kelley	1-(320)124-3485
Annie Alexander	7-(207)450-2479
Tammy Roberts	8-(572)995-1768
Ashley Gordon	6-(603)570-6046
Denise Johnston	0-(631)538-6659
Denise Hunt	1-(096)031-3280
Deborah White	4-(510)741-9570
Wanda Nguyen	8-(121)440-1304
Lois Ferguson	9-(386)261-5493
Rachel Palmer	6-(782)973-6858
Sandra Burton	3-(409)058-1460
Doris Bennett	2-(953)595-3778
Rose Russell	3-(574)529-8302
Julie Owens	2-(571)458-6510
Rose Taylor	4-(466)293-0672
Nicole Dixon	6-(717)891-5861
Margaret Mills	1-(741)978-7437
Kelly Porter	2-(398)063-6062
Jennifer Bradley	8-(119)270-0511
Angela Oliver	2-(907)144-2511
Louise Butler	2-(410)638-9040
Kathy Morgan	4-(732)831-8838
Sarah Allen	9-(334)071-1979
Stephanie Roberts	3-(897)593-7923
Kelly Hernandez	8-(533)004-6822
Carolyn Rose	0-(937)328-0248
Christine Tucker	8-(720)006-5770
Pamela Davis	4-(767)675-8323
Cynthia Campbell	6-(082)329-0422
Lois Hill	3-(709)654-3891
Marie Barnes	8-(737)136-0137
Doris Sullivan	4-(355)889-4232
Mary Larson	2-(520)389-8535
Emily Jackson	8-(278)086-7784
Sara Peterson	6-(453)066-3451
Donna George	3-(419)288-5140
Rose Cook	9-(652)609-4614
Patricia Nelson	2-(813)719-5699
Diane Brown	6-(090)696-7019
Jane Kim	4-(173)580-9812
Marilyn Spencer	8-(647)004-7267
Phyllis Spencer	8-(912)189-8428
Denise Daniels	2-(893)309-8762
Judy Garza	7-(103)125-1645
Ann Anderson	5-(655)722-6172
Stephanie Stewart	3-(662)306-7031
Julie Harper	5-(184)706-2821
Ashley Thompson	2-(724)114-2062
Nicole Cunningham	8-(874)312-6733
Katherine Russell	9-(769)214-1596
Jennifer Moore	6-(445)154-6585
Maria Howell	8-(851)807-5001
Lisa Palmer	6-(967)929-9042
Helen Day	8-(499)667-5360
Emily Cook	7-(307)994-2774
Jean King	1-(198)623-5036
Carol Robertson	8-(925)170-4351
Dorothy Henderson	5-(735)867-7520
Michelle Riley	5-(058)027-0525
Gloria Chapman	1-(611)940-5338
Diana Mitchell	4-(631)631-7698
Brenda Hayes	1-(149)475-3500
Ashley Jones	2-(023)957-0820
Karen Knight	9-(616)127-9065
Virginia Gibson	5-(105)970-3221
Donna Myers	5-(417)797-2289
Anne Mason	3-(083)937-3318
Heather Howell	4-(461)055-0678
Phyllis Burns	7-(014)179-0079
Denise Peters	0-(798)167-6764
Christine Lewis	9-(574)566-2431
Debra Riley	4-(880)342-7924
Joyce Gardner	7-(910)369-1760
Christine Frazier	1-(236)358-5380
Nancy Martinez	5-(967)015-5397
Theresa Vasquez	3-(882)163-7059
Betty Bradley	7-(227)122-3490
Helen Palmer	5-(732)593-6177
Ashley Ortiz	6-(775)278-2967
Denise Clark	2-(292)484-2156
Andrea Moreno	8-(661)783-9291
Linda Chavez	9-(110)704-4185
Lois Allen	2-(996)240-9489
Diana Harrison	1-(360)829-1266
Mary Marshall	6-(507)307-3529
Kathryn Fisher	9-(206)813-2740
Kathryn Shaw	2-(843)771-9738
Rose Bennett	3-(595)414-8071
Sandra Gordon	9-(893)866-4877
Denise Carr	4-(317)127-6919
Jennifer Rodriguez	6-(604)384-1970
Bonnie Bell	9-(477)249-2287
Emily Woods	5-(752)881-8774
Judith Lawrence	4-(330)722-9739
Jean Wood	0-(756)256-4237
Shirley Romero	5-(942)457-0654
Nancy Stanley	4-(380)978-5537
Bonnie Mills	2-(102)730-1679
Nancy Howard	4-(022)822-5329
Catherine Hart	5-(311)567-1953
Jessica Scott	0-(622)824-2797
Bonnie Day	7-(534)720-0374
Laura Johnston	0-(302)078-7016
Virginia Banks	6-(103)346-1335
Denise Gonzalez	2-(816)022-6892
Janet Williamson	6-(234)134-3955
Margaret Rivera	3-(200)422-1517
Ashley Torres	5-(067)095-1783
Teresa Wilson	4-(304)287-1854
Phyllis Carpenter	7-(789)476-6945
Phyllis Lynch	2-(608)773-6467
Cheryl Burton	5-(324)631-6373
Christina Gutierrez	7-(037)233-7875
Debra Harvey	5-(581)176-2234
Cheryl Moreno	2-(161)876-2480
Melissa Hamilton	6-(492)996-1846
Angela Sanchez	7-(755)163-4710
Jacqueline Sanders	9-(474)944-1873
Lisa Lawson	4-(933)289-0416
Virginia Baker	6-(410)520-5037
Phyllis Hernandez	0-(642)425-0774
Doris Stephens	1-(440)922-7348
Frances Marshall	1-(739)908-6696
Annie Williamson	5-(495)876-3931
Kathleen Campbell	3-(572)433-9975
Donna Hunter	8-(928)232-5540
Stephanie Taylor	5-(766)522-2181
Lori Long	9-(747)465-8040
Denise Harris	2-(123)869-1715
Jacqueline Ferguson	2-(352)895-7330
Linda Fernandez	4-(401)136-1009
Alice Sims	1-(153)411-7349
Joyce Hansen	4-(246)224-8170
Jean Gonzales	5-(031)971-0501
Katherine Garcia	3-(156)379-1580
Julia Gardner	3-(803)053-8279
Angela Tucker	5-(290)200-4353
Lori Nguyen	3-(870)133-9184
Sandra Welch	6-(873)227-7864
Teresa Hunt	1-(196)397-1330
Gloria Moreno	1-(086)083-7332
Beverly George	4-(178)019-5661
Emily Ramirez	0-(279)954-2707
Patricia Jacobs	4-(308)225-2791
Kelly Foster	8-(076)926-6994
Cheryl Wright	2-(376)643-0298
Stephanie Ramos	5-(610)862-4906
Theresa Reid	5-(583)083-8032
Sandra Perry	5-(506)701-1644
Sandra Moreno	9-(135)281-0849
Sara Cooper	4-(460)075-2011
Joyce Mitchell	1-(986)651-4172
Laura Welch	8-(567)153-7368
Lisa Lane	8-(145)740-7958
Carolyn Flores	5-(898)402-3624
Gloria Ray	9-(961)560-5162
Katherine James	4-(954)893-1279
Kathryn Parker	6-(755)300-4233
Ashley Rivera	8-(556)848-0962
Cheryl Smith	3-(132)069-8781
Carol Ortiz	8-(239)069-5433
Margaret Powell	7-(771)379-5429
Teresa White	3-(594)090-2468
Amy Oliver	1-(732)150-0987
Martha Vasquez	8-(608)892-3090
Diana Brooks	6-(457)619-6928
Nicole Baker	0-(975)625-4830
Anne Carpenter	8-(977)811-4114
Mary Stanley	6-(506)964-3710
Paula Peterson	4-(634)755-6435
Dorothy Cooper	5-(997)914-9946
Evelyn Brooks	4-(848)233-4328
Diane Bishop	3-(018)336-3985
Martha Andrews	9-(828)922-2118
Brenda King	2-(141)165-2035
Julie Alexander	2-(273)898-8976
Theresa Chavez	6-(766)271-7879
Anne Campbell	3-(020)652-4224
Deborah Romero	5-(726)675-6789
Judy Pierce	0-(232)205-9711
Carol James	0-(068)554-1713
Frances Morgan	2-(759)609-8516
Laura Davis	6-(998)960-8109
Marilyn Day	2-(552)767-1606
Karen Frazier	7-(349)302-6859
Nicole Gordon	9-(609)908-5510
Sandra Lopez	0-(567)616-5108
Patricia Russell	8-(596)180-6773
Karen Ferguson	6-(512)430-2055
Karen Smith	7-(153)170-5397
Sharon Morrison	3-(013)535-9118
Mildred Henderson	5-(252)304-8620
Jessica Baker	2-(997)439-5013
Kathy Reyes	9-(233)099-8006
Jacqueline Lawrence	1-(437)448-7570
Diana Lawson	8-(195)683-0555
Cheryl Mendoza	3-(302)597-4629
Louise Dixon	7-(685)766-7591
Jacqueline Gutierrez	6-(263)007-3949
Frances Hernandez	2-(373)313-7146
Julie Parker	2-(362)209-5040
Kelly Cruz	3-(386)523-5387
Paula Gibson	6-(199)200-4057
Kathleen Medina	6-(828)010-8493
Michelle Porter	8-(559)026-2881
Helen Reyes	0-(667)762-3786
Doris Gordon	3-(921)446-4923
Jessica Mason	8-(209)568-5324
Jean Diaz	6-(149)168-1860
Virginia Gonzalez	8-(041)150-7120
Lori Jordan	3-(439)846-7120
Emily Welch	8-(908)322-9745
Shirley Wells	8-(006)096-6529
Debra Powell	6-(230)761-6054
Wanda Hunter	8-(636)340-5235
Bonnie Stephens	7-(862)838-3584
Cheryl Dixon	7-(877)113-7080
Lois Owens	1-(248)677-6486
Doris Harvey	1-(844)515-7900
Judy Stanley	7-(541)845-1833
