Karen Peters	0-(138)071-3364
Ashley Dean	0-(856)645-0599
Karen Morrison	7-(959)275-9574
Jennifer Gibson	6-(745)094-8208
Jacqueline Hill	7-(372)802-3108
Julie Nguyen	7-(841)754-0496
Nancy Rice	1-(318)529-3305
Jennifer Cole	5-(827)119-0527
Joyce Hill	2-(004)840-0867
Bonnie Campbell	8-(326)946-2234
Linda Welch	5-(485)840-9509
Sara Ruiz	4-(333)084-8140
Lisa Porter	6-(825)397-4611
Robin Bradley	8-(567)102-9039
Lisa Fuller	3-(547)113-0229
Rebecca Harrison	0-(045)389-9027
Amy Wallace	8-(966)144-3914
Rachel Long	9-(153)428-2975
Laura Meyer	5-(324)361-6280
Cynthia Ortiz	1-(704)045-3552
Sandra Lopez	0-(072)463-3857
Lori Gonzalez	7-(507)839-9286
Lisa Nichols	1-(222)779-4225
Cheryl Reid	8-(040)932-6321
Mildred Simmons	1-(478)943-7381
Melissa Freeman	4-(876)148-8458
Alice Smith	3-(670)473-3800
Anna King	4-(614)812-6286
Martha Ford	4-(550)359-1544
Janet Nichols	8-(623)636-1857
Lisa Gibson	9-(348)613-9310
Norma Bryant	4-(674)779-8782
Jacqueline Clark	8-(544)412-6961
Janet Hudson	9-(565)016-3037
Jacqueline Fuller	1-(578)306-6218
Beverly George	9-(001)806-6677
Kimberly Kim	1-(152)463-8124
Jessica Gardner	8-(367)517-1640
Brenda Diaz	0-(427)330-2238
Virginia Stewart	7-(362)658-4762
Doris Matthews	9-(356)901-8491
Joyce George	3-(807)000-2957
Brenda Myers	0-(953)731-9405
Paula Parker	1-(090)994-2045
Christina Warren	5-(186)578-3091
Lisa Ford	9-(247)625-4359
Pamela Bryant	1-(776)301-3697
Deborah Payne	3-(917)970-8543
Tina Moore	0-(201)156-5300
Judy Wagner	3-(062)753-8271
Carolyn Arnold	6-(209)870-7689
Shirley King	7-(867)309-3576
Mary Washington	2-(674)428-6605
Judy White	5-(370)635-1943
Irene Murray	4-(601)547-5584
Dorothy Ward	4-(978)204-7740
Helen Perry	6-(583)836-0562
Lori Harvey	4-(598)240-9530
Doris Harvey	1-(941)943-3057
Diana Simpson	0-(656)108-8165
Kelly Webb	8-(404)098-8540
Katherine Lopez	6-(419)762-9099
Helen Palmer	9-(820)380-7689
Deborah Berry	0-(315)586-3051
Jessica Nelson	5-(693)431-2336
Stephanie Bennett	5-(403)758-0434
Lisa Ramos	9-(340)705-0796
Kimberly Meyer	3-(932)332-7137
Robin Bailey	8-(895)807-7058
Emily Miller	8-(157)130-0860
Joan Reed	5-(591)736-7756
Amanda Long	7-(527)765-8014
Dorothy Lane	1-(097)935-3202
Pamela Alvarez	7-(283)537-3316
Debra Freeman	5-(175)737-5688
Marilyn Peterson	2-(672)996-2214
Christina Boyd	2-(274)996-6257
Donna Lynch	8-(354)553-6484
Wanda Ellis	3-(359)236-4620
Denise Bradley	3-(123)126-3614
Martha Austin	9-(687)915-1159
Nicole Murphy	4-(989)284-3320
Kelly Kelly	6-(923)707-4529
Elizabeth Stone	4-(846)666-4770
Angela Lynch	0-(197)463-4794
Jessica Hughes	3-(045)190-0596
Julia Montgomery	5-(627)377-6273
Christina Crawford	5-(910)439-7741
Mildred Bell	3-(876)842-5957
Christina Simpson	5-(921)788-6867
Wanda Green	2-(975)941-8490
Heather Hawkins	8-(746)249-2267
Ruby Burke	7-(015)183-1110
Christine Rose	5-(648)864-3180
Joyce Gutierrez	4-(814)882-1147
Amy Wood	2-(747)073-9620
Kelly Wells	7-(833)264-8821
Julie Murphy	7-(843)440-6470
Andrea Mcdonald	1-(613)657-5727
Diane Richardson	3-(373)578-8837
Frances Jones	1-(684)148-8777
Shirley Flores	4-(813)310-2540
Shirley Scott	4-(723)034-9503
Tammy Day	3-(391)881-3604
Judith Arnold	2-(565)121-9062
Ruby Ford	2-(446)419-0451
Frances Riley	2-(034)826-8863
Helen Porter	7-(118)748-6870
Debra Adams	0-(569)975-8426
Rebecca Robertson	4-(330)279-8315
Sara Romero	9-(639)785-7616
Diana Mccoy	5-(288)316-0468
Jessica Perkins	0-(231)974-9193
Marilyn Gonzales	8-(698)592-3974
Julie Welch	9-(551)873-9588
Kathryn Banks	0-(606)352-3045
Phyllis Barnes	4-(447)275-4533
Cheryl Carr	3-(676)856-0628
Patricia Edwards	9-(152)581-1463
Mildred Banks	8-(011)618-5143
Rebecca Davis	6-(177)935-0568
Linda Lewis	8-(907)296-4329
Mary Gomez	3-(507)829-1543
Joan Vasquez	9-(900)250-4354
Nancy Stanley	3-(988)653-6810
Karen Parker	2-(830)701-5930
Elizabeth Gilbert	6-(059)316-3552
Annie Perez	4-(275)554-9899
Linda Knight	6-(478)100-5753
Donna Gardner	2-(736)655-6215
Michelle George	0-(207)039-7689
Janet Franklin	7-(312)150-9066
Wanda Smith	7-(818)545-2230
Brenda Thompson	9-(211)953-5604
Deborah Larson	5-(464)487-1846
Judith Chavez	3-(243)089-4772
Teresa Russell	2-(121)630-2276
Annie Burns	0-(731)472-1359
Laura Griffin	5-(177)028-1034
Lisa Bishop	6-(784)237-7175
Elizabeth Johnson	2-(107)546-0779
Beverly Watkins	4-(240)003-0417
Alice Hanson	4-(913)338-6128
Betty Lynch	7-(149)181-9167
Patricia Wilson	2-(155)345-1941
Alice Long	8-(466)724-2429
Kimberly Rogers	8-(442)866-2224
Kathy Reyes	6-(287)980-9871
Doris Stewart	3-(688)681-8235
Susan Cooper	8-(567)914-1262
Helen Richards	9-(403)502-8654
Margaret Harvey	0-(280)923-1345
Jean Lane	7-(768)413-3841
Theresa Porter	7-(819)264-2948
Michelle Hicks	3-(087)207-3398
Frances Butler	0-(155)267-6235
Catherine Scott	6-(068)189-8268
Jennifer Martinez	8-(286)726-8205
Jessica Garza	8-(846)413-2868
Marie Griffin	9-(973)112-6365
Joyce Warren	0-(176)927-8559
Sharon Collins	2-(087)118-2093
Sharon Sanders	8-(703)269-4055
Barbara Montgomery	4-(516)618-4716
Nancy Sanders	6-(245)765-1837
Nancy Price	0-(598)748-2005
Jean Morales	9-(408)578-4625
Donna Morris	8-(142)925-6822
Irene Morales	3-(250)014-3546
Phyllis Harper	1-(858)346-9612
Mary Rodriguez	3-(035)970-7399
Amanda Carr	0-(665)851-6529
Angela Flores	5-(160)098-0239
Evelyn Alvarez	1-(202)941-7508
Sarah Carroll	7-(124)632-9367
Alice Phillips	7-(893)412-6635
Cynthia Gibson	9-(456)205-9765
Linda Sanders	8-(381)426-8284
Lisa Rodriguez	9-(879)226-3418
Janet Hill	3-(796)677-2976
Stephanie Long	9-(572)225-9725
Christina Williamson	4-(407)878-5342
Stephanie Black	5-(594)875-6361
Joan Chapman	1-(550)515-5759
Diana Woods	7-(747)513-5542
Nancy Alexander	6-(883)417-2541
Rebecca White	6-(991)402-3547
Joyce Snyder	6-(966)044-5126
Janice Scott	4-(116)787-9057
Alice Robinson	4-(119)282-7653
Christina Carr	3-(857)346-4793
Kathryn Rogers	3-(994)996-5873
Denise Green	8-(869)402-7587
Martha Kelly	5-(908)407-8799
Kelly Cooper	7-(615)265-0957
Susan Cole	2-(502)563-2420
Julia Shaw	5-(917)311-5780
Jessica Edwards	9-(080)549-0313
Anne Ellis	5-(867)762-9746
Heather Hernandez	1-(693)140-2367
Ruth Edwards	3-(342)323-6468
Louise Bell	4-(199)063-6466
Helen Miller	7-(922)222-9576
Katherine Weaver	6-(855)977-0891
Tina Stephens	2-(890)642-3303
Janet Turner	7-(713)312-2013
Jean Robinson	3-(246)313-5758
Ann Diaz	1-(365)002-4406
Norma Morrison	3-(569)710-2120
Janet Crawford	1-(749)932-0538
Laura Castillo	9-(091)279-0552
Denise Ford	6-(825)457-3091
Joyce Boyd	5-(137)683-8653
Judith Warren	9-(064)770-7602
Lois Martinez	9-(227)952-3298
Laura Brown	4-(319)252-9992
Janice Black	3-(671)854-6060
Ruby Campbell	1-(172)156-9676
Anne Medina	3-(780)265-9884
Judith Hawkins	8-(856)786-6346
Melissa Ward	6-(875)746-5746
Marie Mills	2-(574)534-4820
Amanda King	5-(694)316-8829
Sarah Carter	6-(128)237-7329
Rachel Price	5-(486)145-8098
Anne Wheeler	8-(576)465-4805
Martha Sanchez	2-(270)970-6059
Ruth Evans	0-(677)489-2442
Alice Kelly	2-(872)002-0061
Diana Medina	3-(130)274-4557
Teresa Schmidt	7-(208)794-9679
Elizabeth Morrison	0-(014)017-8916
Margaret Turner	7-(193)172-8438
Irene Morrison	7-(679)995-8977
Catherine Duncan	1-(470)214-6980
Joan Peterson	6-(884)188-2665
Pamela Jackson	4-(555)067-1867
Helen Burke	4-(763)903-0797
Tina Wallace	9-(218)087-7309
Ruby Peterson	8-(052)493-8527
Alice Matthews	9-(865)810-0012
Frances Reid	1-(546)337-1576
Bonnie Dean	6-(914)672-7562
Jennifer Payne	2-(943)736-0565
Jennifer Martin	7-(772)049-5858
Kathryn Alvarez	7-(834)527-5128
Marie Duncan	5-(472)359-7749
Karen Fox	3-(481)179-4402
Linda Bishop	6-(469)895-7762
Sarah Gray	4-(282)162-2567
Betty Henderson	4-(345)557-1365
Tammy Wood	0-(273)199-1421
Bonnie Burton	8-(943)612-5475
Mildred Peterson	4-(171)196-4360
Michelle Black	4-(941)824-3371
Nancy Armstrong	4-(658)999-6495
Melissa Garza	0-(863)510-4435
Jennifer Lawrence	2-(020)540-3516
Melissa Oliver	0-(441)531-5894
Betty Diaz	6-(855)055-6481
Rebecca Davis	2-(814)272-6348
Ruth Henry	5-(645)122-0539
Maria Gordon	2-(413)316-4431
Lori Fisher	6-(092)429-7537
Ann Vasquez	3-(056)377-3753
Amanda Reid	7-(920)248-2114
Ann Gardner	5-(745)690-0572
Virginia Brooks	2-(518)143-9766
Rachel Lee	7-(595)298-5588
Donna Alexander	0-(680)043-5080
Sara Burke	5-(726)320-4991
Annie Carr	4-(555)643-7384
Mary Harris	4-(113)003-1741
Margaret Matthews	0-(070)218-9242
Julia Morales	1-(058)196-0674
Barbara Robertson	2-(106)834-0988
Maria Lane	6-(204)920-9909
Rebecca Boyd	2-(022)954-1609
Sara Russell	2-(812)040-5969
Karen Ferguson	3-(243)365-1824
Norma Chapman	3-(370)858-7498
Lisa Williams	9-(594)935-6103
Joan Carr	9-(903)191-9863
Nicole Lopez	1-(200)031-3793
Nancy Sims	8-(249)970-3523
Gloria Watkins	7-(688)246-9732
Gloria Jordan	3-(038)933-1979
Sarah Ramirez	8-(593)980-0848
Carol Wilson	7-(036)830-6487
Lois Allen	3-(689)881-8590
Donna Lawson	7-(001)784-7264
Patricia Morris	0-(132)183-8044
Jessica Diaz	2-(590)036-5151
Debra Stanley	6-(026)270-0498
Irene Gray	0-(695)641-8977
Michelle Marshall	1-(294)341-6130
Tammy Porter	4-(762)225-6934
Bonnie Long	9-(026)040-7829
Ashley Hall	1-(634)649-9557
Lisa Stone	1-(530)404-3874
Dorothy Romero	1-(091)431-6923
Kathleen Stephens	8-(312)385-6758
Mary Scott	2-(996)983-8030
Ruth Chapman	2-(595)560-4506
Paula Flores	3-(693)361-2781
Anne Cunningham	9-(978)883-2128
Mary Hanson	4-(131)861-3515
Sara Henderson	8-(089)812-6014
Alice Adams	1-(275)526-7410
Carol Ryan	8-(341)823-7612
Mary Fowler	5-(445)362-3285
Sarah Gutierrez	8-(957)472-9994
Diane Jenkins	3-(213)469-5695
Doris Garrett	1-(648)293-6941
Wanda Lawson	7-(148)724-7690
Julie Boyd	6-(105)191-6800
Julia Gonzalez	4-(489)057-0867
Marilyn Wagner	3-(358)163-4120
Mildred Ryan	8-(336)234-6762
Denise Jones	1-(190)860-1935
Barbara Hawkins	2-(764)478-6495
Jean Diaz	7-(482)864-2651
Beverly Gilbert	4-(742)621-5149
Lisa Allen	1-(389)669-7847
Irene Lee	7-(324)947-3557
Jane Gomez	8-(391)986-7448
Mildred Vasquez	0-(389)705-6329
Tammy Martinez	9-(210)839-0653
Frances Medina	0-(288)987-6538
Ruth Stone	7-(119)956-1583
Rose Andrews	1-(341)226-3677
Mary Robinson	4-(405)570-6887
Stephanie Peters	2-(251)043-9953
Virginia Bennett	8-(434)067-9859
Irene Stone	5-(682)606-2817
Deborah Smith	2-(869)481-2081
Virginia Richards	3-(947)848-8420
Nicole Gilbert	5-(661)025-5414
Alice Hamilton	4-(330)552-8233
Robin Knight	5-(549)371-8529
Angela Garza	5-(669)392-7837
Linda George	0-(328)678-1374
Denise Jenkins	3-(135)070-5651
Amanda Perry	2-(299)383-0783
Melissa Parker	1-(468)330-7375
Nancy Adams	8-(798)851-7847
Norma Gonzales	6-(964)242-0883
Pamela Bennett	2-(169)127-2372
Kathryn Kim	3-(296)420-3766
Ruth Garza	3-(044)539-2159
Doris Barnes	3-(430)565-8957
Louise Wright	8-(343)389-1135
Diana King	2-(999)117-3957
Donna Fisher	9-(547)497-5441
Cheryl Snyder	6-(277)077-6360
Sandra Hicks	0-(223)019-1530
Kathy Stanley	1-(574)480-5923
Donna Moore	9-(610)535-0726
Heather Wheeler	8-(475)198-7329
Catherine Woods	2-(552)258-3036
Mildred Berry	6-(713)133-1004
Sharon Mills	3-(734)312-0969
Annie Griffin	5-(865)169-7207
Martha Ortiz	6-(870)110-9037
Deborah Bowman	1-(910)817-0512
Jacqueline Young	9-(596)497-2213
Patricia Larson	4-(857)194-3155
Dorothy Morgan	8-(781)976-3075
Rose Andrews	1-(627)331-3513
Janice Ruiz	0-(041)538-1079
Rachel Wood	3-(759)569-9023
Diana Green	3-(538)689-1915
Rachel Stone	6-(883)251-4117
Irene Perkins	4-(346)440-4699
Emily Pierce	6-(149)983-1897
Ruby Kelley	4-(122)091-2193
Carolyn Torres	1-(451)905-1573
Cynthia Wood	1-(383)681-6816
Nancy Williamson	2-(838)726-3837
Elizabeth Bishop	5-(193)527-1352
Barbara Young	6-(907)852-7025
Doris Banks	4-(598)029-0027
Helen Arnold	8-(033)372-5624
Andrea Hall	9-(348)809-8751
Julia Lawrence	2-(482)116-2765
Tina Hart	3-(229)545-3255
Janice Harper	1-(536)949-9004
Katherine Lawson	0-(420)616-1398
Ann Fox	7-(015)400-6650
Kimberly Barnes	7-(181)028-5705
Kathy Chavez	3-(771)542-4499
Evelyn Stanley	8-(918)222-5006
Debra Burton	9-(557)363-7161
Helen Fields	3-(366)331-4608
Ashley Stevens	7-(330)915-8485
Alice Hunter	2-(640)250-3112
Barbara Stewart	7-(213)603-4617
Virginia Chapman	7-(833)500-5451
Kelly Franklin	4-(539)077-8771
Michelle Lawson	1-(401)198-1643
Cheryl Hart	7-(511)297-6997
Mary Matthews	6-(377)939-3483
Elizabeth Martinez	2-(909)864-4513
Ann Armstrong	3-(604)981-8413
Frances Ramos	4-(891)982-9114
Christine Chapman	7-(863)646-4586
Judy Walker	1-(517)252-9956
Sara Andrews	8-(877)223-3481
Janice Welch	8-(326)655-7214
Irene George	8-(645)710-5871
Teresa Bell	0-(037)361-3137
Paula Bowman	9-(618)735-1083
Brenda Diaz	9-(299)885-9965
Bonnie Pierce	0-(866)049-6224
Melissa Henderson	7-(083)329-2691
Kathryn Howard	1-(792)060-1324
Marilyn White	4-(167)086-7818
Irene Frazier	4-(661)802-4671
Joan Rivera	4-(140)420-8011
Mildred Martin	2-(062)503-4169
Margaret Reid	0-(023)836-2082
Barbara Thompson	9-(711)930-0954
Paula Simpson	4-(961)450-2494
Lois Stanley	9-(607)224-3485
Beverly Johnston	6-(618)803-8683
Brenda Mason	6-(047)167-3056
Christine Lee	0-(412)805-7449
Nicole Payne	1-(297)652-9830
Emily Berry	9-(186)919-4189
Jane Rodriguez	2-(441)786-8307
Andrea Owens	2-(759)114-2332
Theresa Gray	1-(302)532-9477
Evelyn Rivera	4-(102)596-4914
Emily Lopez	2-(779)538-4608
Lisa Watkins	9-(946)506-5657
Frances Dunn	4-(866)023-7985
Diane Stewart	8-(962)474-5371
Joyce Moore	5-(659)919-4224
Kathleen Mills	1-(440)100-1081
Jean Roberts	1-(623)428-6808
Carol Torres	0-(745)826-8949
Betty Burton	9-(799)191-8870
Helen Alexander	2-(331)752-7776
Evelyn Gilbert	4-(157)323-3214
Lois Smith	3-(261)764-1573
Phyllis Austin	5-(225)809-7968
Paula Hall	8-(288)422-4039
Betty Robinson	4-(416)013-2211
Joyce Hansen	7-(980)877-4162
Cheryl Ramirez	0-(526)756-8997
Rose Carroll	5-(677)865-8066
Kathryn Powell	5-(645)421-2432
Ann Castillo	3-(860)165-2144
Laura Reyes	3-(702)856-2861
Stephanie Brooks	5-(029)879-6838
Jane Scott	6-(800)637-4239
Diana Fernandez	5-(005)260-3011
Rachel Porter	0-(879)357-4899
Jennifer Collins	1-(016)610-3109
Helen Wallace	8-(273)914-2584
Tammy Johnston	3-(766)950-9380
Judy Gardner	9-(061)663-0775
Tina Chapman	7-(945)471-6152
Beverly Harrison	5-(296)434-9746
Donna Martinez	4-(509)539-4575
Ruby Burns	5-(213)147-5906
Frances Hernandez	5-(850)647-2043
Tina Owens	6-(986)518-8346
Janet Cox	5-(056)207-9603
Pamela Hughes	5-(338)715-5765
Pamela Hart	6-(786)441-1364
Alice Johnson	4-(881)294-2432
Margaret Howell	5-(639)672-5418
Judith Shaw	4-(310)721-0305
Karen Cook	6-(618)170-3475
Kathleen Watkins	6-(743)894-6362
Lisa Meyer	1-(835)933-9718
Rachel Henry	4-(723)359-5053
Teresa Duncan	1-(915)763-7208
Rebecca Murray	3-(690)694-5563
Barbara Ramirez	7-(962)382-7317
Bonnie Butler	1-(512)750-5826
Maria Webb	3-(116)272-2158
Nancy Lee	0-(433)310-1997
Patricia Chavez	3-(409)313-0798
Tammy Marshall	4-(689)377-0365
Nancy Hall	3-(823)277-3630
Gloria Cook	0-(822)981-8498
Jean Woods	9-(580)718-8272
Linda Collins	5-(152)940-9827
Rebecca Hanson	3-(395)691-1531
Amanda Reed	4-(008)677-4061
Jessica Rivera	1-(568)693-5358
Louise Reid	6-(932)783-3030
Mildred Hunter	3-(075)417-7158
Carolyn Hawkins	5-(275)824-8714
Ruby Duncan	0-(069)610-5324
Lois Welch	5-(424)171-4431
Margaret Morgan	5-(175)844-6536
Anna Harris	6-(233)397-6559
Barbara James	0-(076)959-2431
Janet Baker	5-(834)085-6048
Helen Hicks	4-(552)614-8320
Brenda Snyder	8-(296)486-4492
Christina Webb	0-(374)892-5349
Joan Warren	0-(115)268-3301
Maria Ramirez	2-(534)961-5951
Janice Perez	0-(381)908-7073
Evelyn Fields	7-(983)537-3598
Sara Nelson	1-(354)874-1527
Julia Harper	2-(053)223-4278
Dorothy Jacobs	0-(416)110-8402
Christine Patterson	4-(323)252-1772
Jessica Peters	2-(087)636-0331
Linda Porter	9-(249)692-9905
Donna Lawson	6-(751)420-0721
Helen Wagner	8-(255)599-3776
Amanda Gomez	9-(576)611-5748
Debra Elliott	8-(009)426-1095
Mary Hughes	0-(688)670-8208
Janice Howell	8-(193)490-1622
Elizabeth Ellis	7-(709)684-2348
Jacqueline Taylor	8-(323)764-4551
Rose Gutierrez	2-(636)954-4561
Karen Sanchez	7-(809)386-6953
Jacqueline Lynch	6-(494)850-5820
Elizabeth Woods	0-(980)182-0186
Kathryn Henderson	9-(508)683-2729
Lillian Powell	8-(942)208-6899
Jean Simpson	8-(707)062-7015
Kelly Stevens	1-(574)697-4350
Wanda Hamilton	9-(306)544-1676
Theresa Stone	4-(828)605-5357
Patricia Gonzalez	5-(348)587-1033
Pamela Ward	6-(988)913-4244
Evelyn Riley	1-(238)385-6534
Norma Ford	6-(658)663-1771
Tammy Lynch	1-(084)474-6543
Barbara Richards	4-(251)649-3406
Kathleen Hudson	6-(318)833-8900
Catherine Miller	7-(083)087-3861
Gloria Nguyen	5-(544)658-0278
Helen Fuller	9-(407)400-0745
Teresa Watkins	9-(090)706-0696
Ruby Franklin	0-(247)768-1855
Ruby Hunter	7-(710)328-0513
Rebecca Parker	0-(668)865-8453
Amy Anderson	6-(842)024-3758
Margaret Hawkins	2-(353)383-7919
Mary Reed	8-(820)477-1135
Jennifer Hamilton	3-(744)353-3447
Karen Ruiz	4-(102)752-1759
Annie Matthews	8-(549)467-4406
Betty Evans	8-(232)878-7775
Barbara Garza	0-(901)680-0408
Judith Murray	7-(038)355-6243
Ann Mendoza	4-(826)669-2543
Janet Perry	5-(699)028-2199
Sandra Lane	1-(171)715-1900
Carolyn Armstrong	6-(215)295-9414
Mildred Parker	2-(486)329-5833
Mary Sullivan	4-(140)509-6233
Dorothy Riley	3-(094)749-2001
Ruth Greene	1-(130)674-3316
Cheryl Davis	1-(163)325-1490
Marie Day	8-(492)455-9067
Melissa Ward	4-(003)611-8876
Pamela Hernandez	6-(734)391-4454
Debra Parker	9-(034)958-6234
Paula Stephens	7-(122)638-6117
Cynthia Hall	0-(846)830-4401
Ruth Richardson	0-(559)653-0037
Judith Weaver	2-(055)253-4553
Gloria Snyder	4-(239)606-7351
Patricia Riley	4-(567)898-8877
Martha Payne	7-(504)316-6714
Norma Armstrong	0-(515)939-8749
Melissa Diaz	7-(670)001-3300
Jane Garrett	4-(349)242-1226
Teresa Moore	4-(631)140-6296
Christine Gibson	8-(363)363-0782
Phyllis Parker	4-(582)175-7624
Diane Cruz	6-(555)709-2122
Sara Henry	1-(963)399-2465
Heather Powell	9-(936)095-3987
Sarah Holmes	4-(707)533-0204
Doris Ellis	3-(697)454-2255
Amanda Hamilton	9-(074)638-1479
Patricia Harris	9-(263)432-6778
Nicole Jordan	4-(906)895-3254
Shirley Mason	5-(662)626-1043
Jennifer Wood	8-(859)600-4471
Stephanie Mendoza	2-(673)111-5989
Judy Powell	5-(357)602-6872
Jessica Berry	6-(131)454-2373
Sandra Bell	8-(814)104-9938
Debra Watkins	5-(318)847-0396
Kathy Mills	6-(990)259-5159
Ashley Richardson	7-(007)172-2670
Amanda Chapman	7-(268)079-7993
Tammy Foster	3-(254)218-1065
Barbara Wheeler	8-(151)356-8413
Barbara Palmer	8-(104)468-7442
Virginia Gordon	9-(488)944-1896
Carol Matthews	3-(334)143-1358
Janet Kelley	1-(605)028-2053
Alice Wagner	3-(901)007-3340
Martha Stevens	6-(491)358-4612
Beverly Burke	6-(253)261-5158
